simplified	pathway
Biosynthesis_of_other_secondary_metabolites	beta-Lactam_resistance:Biosynthesis_of_other_secondary_metabolites
Nucleotide_metabolism	Purine_metabolism:Nucleotide_metabolism|Pyrimidine_metabolism:Nucleotide_metabolism|Metabolic_pathways|DNA_replication:Replication_and_repair|Base_excision_repair:Replication_and_repair|Nucleotide_excision_repair:Replication_and_repair|Mismatch_repair:Replication_and_repair|Homologous_recombination:Replication_and_repair
Signal_transduction	Wnt_signaling_pathway:Signal_transduction
Digestive_system	Bile_secretion:Digestive_system
Signaling_molecules_and_interaction	Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction|TNF_signaling_pathway:Signal_transduction
Signal_transduction	Hippo_signaling_pathway_-_fly:Signal_transduction
Membrane_transport	ABC_transporters:Membrane_transport|Bile_secretion:Digestive_system
Cell_motility	Regulation_of_actin_cytoskeleton:Cell_motility
Cell_communication	Tight_junction:Cell_communication
Signal_transduction	PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Focal_adhesion:Cell_communication|ECM-receptor_interaction:Signaling_molecules_and_interaction|Protein_digestion_and_absorption:Digestive_system
Cell_growth_and_death	Cell_cycle:Cell_growth_and_death|Cell_cycle_-_yeast:Cell_growth_and_death|Meiosis_-_yeast:Cell_growth_and_death|Oocyte_meiosis:Cell_growth_and_death
Cell_growth_and_death	Cell_cycle_-_yeast:Cell_growth_and_death
Signal_transduction	Rap1_signaling_pathway:Signal_transduction
Translation	RNA_transport:Translation|MAPK_signaling_pathway_-_yeast:Signal_transduction
Metabolic_pathways	Metabolic_pathways
Folding,_sorting_and_degradation	Protein_export:Folding,_sorting_and_degradation|Protein_processing_in_endoplasmic_reticulum:Folding,_sorting_and_degradation
Membrane_transport	ABC_transporters:Membrane_transport|Bacterial_secretion_system:Membrane_transport
Signal_transduction	Jak-STAT_signaling_pathway:Signal_transduction
Transport_and_catabolism	Lysosome:Transport_and_catabolism
Carbohydrate_metabolism	Amino_sugar_and_nucleotide_sugar_metabolism:Carbohydrate_metabolism|Biosynthesis_of_secondary_metabolites
Transport_and_catabolism	Endocytosis:Transport_and_catabolism|Phagosome:Transport_and_catabolism
Digestive_system	Salivary_secretion:Digestive_system
Signal_transduction	Plant_hormone_signal_transduction:Signal_transduction
Nucleotide_metabolism	Purine_metabolism:Nucleotide_metabolism|Pyrimidine_metabolism:Nucleotide_metabolism|RNA_polymerase:Transcription
Signal_transduction	NF-kappa_B_signaling_pathway:Signal_transduction|Ubiquitin_mediated_proteolysis:Folding,_sorting_and_degradation|Apoptosis:Cell_growth_and_death|Focal_adhesion:Cell_communication|TNF_signaling_pathway:Signal_transduction
Xenobiotics_biodegradation_and_metabolism	Furfural_degradation:Xenobiotics_biodegradation_and_metabolism
