compound_code	compound_name	olsenella_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00231	D-Xylulose_5-phosphate	-0.451	-0.269	0.881	2.572	-1.181	60.0
C00092	D-Glucose_6-phosphate	-0.322	8.098	0.005	275.244	-0.329	60.0
C05759	3-Oxotetradecanoyl-[acp]	4.459	10.921	0.408	1960.863	9.645	90.0
C03785	D-Tagatose_1,6-bisphosphate	1.0	-1.0	1.0	4.0	-2.0	70.0
C12214	Aminofructose_6-phosphate	1.0	1.0	1.0	4.0	2.0	80.0
C00097	L-Cysteine	-0.138	-1.303	0.446	3.568	-0.67	50.0
C00011	CO2	3.442	4.179	0.824	28.981	4.577	80.0
C00117	D-Ribose_5-phosphate	-0.652	-0.1	0.682	2.643	-0.85	50.0
C00035	GDP	0.585	-2.644	0.24	7.751	-0.895	50.0
C00014	Ammonia	-1.402	-10.05	0.002	1062.754	-1.406	70.0
C00015	UDP	-0.585	-2.644	0.24	7.751	-0.895	50.0
C00112	CDP	-1.0	-3.0	0.25	10.0	-1.322	60.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	4.459	10.921	0.408	1960.863	9.645	90.0
C00019	S-Adenosyl-L-methionine	-0.322	-0.322	1.0	2.5	-1.322	70.0
C00152	L-Asparagine	1.585	0.485	0.306	4.4	0.429	70.0
C00118	D-Glyceraldehyde_3-phosphate	1.696	3.847	0.441	17.63	2.958	80.0
C00074	Phosphoenolpyruvate	-1.815	-7.904	0.015	243.038	-1.836	70.0
C00075	UTP	1.054	5.682	0.185	53.416	3.309	80.0
C00002	ATP	0.3	5.819	0.052	57.685	1.572	80.0
C00131	dATP	0.322	-1.0	0.625	3.25	-1.022	50.0
C00065	L-Serine	0.17	-9.482	0.002	716.224	-0.172	70.0
C00130	IMP	-0.222	0.553	0.795	2.633	-1.066	50.0
C00197	3-Phospho-D-glycerate	-0.859	-2.682	0.283	8.231	-1.218	60.0
C05345	beta-D-Fructose_6-phosphate	0.071	6.678	0.011	103.445	0.137	70.0
C00668	alpha-D-Glucose_6-phosphate	0.587	3.388	0.173	11.971	1.052	70.0
C00085	D-Fructose_6-phosphate	0.228	1.0	0.228	3.171	-0.468	60.0
C00242	Guanine	0.485	-1.536	0.483	4.299	-1.053	50.0
C16219	3-Oxostearoyl-[acp]	4.459	10.921	0.408	1960.863	9.645	90.0
C00631	2-Phospho-D-glycerate	-0.115	-4.635	0.044	25.93	-0.177	60.0
C05756	3-Oxododecanoyl-[acp]	4.459	10.921	0.408	1960.863	9.645	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-4.459	-10.919	0.011	1958.177	-4.475	90.0
C00111	Glycerone_phosphate	-0.436	-4.207	0.073	19.821	-0.538	60.0
C00385	Xanthine	0.188	-1.7	0.351	4.388	-0.622	60.0
C01172	beta-D-Glucose_6-phosphate	0.541	2.459	0.22	6.953	0.613	70.0
C16216	3-Oxostearoyl-CoA	4.459	10.923	0.408	1963.553	9.647	90.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-4.459	-10.919	0.011	1958.177	-4.475	90.0
C00655	Xanthosine_5'-phosphate	-0.181	-1.0	0.567	3.134	-0.829	50.0
C00046	RNA	-0.459	-5.528	0.03	47.516	-0.501	60.0
C00718	Amylose	0.585	-3.644	0.12	14.001	-0.748	50.0
C00049	L-Aspartate	0.061	2.259	0.027	5.83	-2.667	80.0
C01094	D-Fructose_1-phosphate	1.585	6.714	0.236	107.982	4.672	90.0
C00169	Carbamoyl_phosphate	3.572	-3.759	0.878	25.431	-4.482	90.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-4.459	-10.919	0.011	1958.177	-4.475	90.0
