K02428	C00075
C02972	K00382
C00188	K01868
K00036	C01236
C00131	K02342
K00059	C04618
K01091	C00160
K15634	C00631
K01256	C00037
K05350	C00221
C00022	K00656
K01662	C11437
C00109	K00656
C00492	K01193
K00526	C00206
K00287	C00415
C00369	K00688
K01198	C00181
C00046	K03043
K00872	C01102
K02335	C00131
K00954	C00882
K00942	C00362
K15634	C00197
K00615	C12215
K01243	C03089
C05750	K00059
C00044	K00527
C00002	K03046
K01880	C02412
K00525	C00361
K00760	C00262
K01736	C01269
C00130	K00602
C00097	K14155
K02428	C00105
K00962	C00015
C00025	K01776
C00231	K00615
C00118	K01662
K04072	C05577
G00093	K07407
K00525	C01346
C02504	K01704
K11533	C05763
C05807	K03688
C00020	K01756
C00153	K08281
K11533	C05753
C00065	K01875
C01412	K04072
C00064	K00265
K01689	C00631
C00041	K01872
K11533	C05760
C03090	K00764
K03043	C00046
K01239	C00153
C00036	K01647
C00037	K01620
K01733	C01102
C06054	K00831
C00631	K01834
K00016	C00109
K11533	C00249
C00026	K00382
C00075	K01937
C00493	K13829
C00031	K00705
K00033	C00005
K01804	C00508
C00279	K01624
C04411	K01704
C00101	K00287
K03816	C00385
K00016	C00022
C05684	K00384
K13788	C00100
K11533	C05749
C00259	K01804
C11453	K01770
K11358	C01179
C00844	K05349
K07407	C00031
K01523	C02741
K11533	C05752
C14089	K04072
C01594	K05350
C00047	K01586
K13787	C00341
K00616	C00279
K00052	C00109
K07407	C00116
K01919	C00669
C06007	K00053
K11358	C00166
K00845	C00092
K01788	C00357
K11533	C16219
K07407	C02686
K00560	C00415
C00294	K01239
C05125	K01653
K05343	C00721
K00873	C00008
K05349	C00844
C00459	K02337
K11358	C05528
K00656	C00100
K00674	C04462
C04619	K11533
K11358	C00049
C00046	K03040
K01465	C00438
K05349	C00221
C02631	K01703
K00766	C00108
C00011	K01595
C00122	K01744
K00766	C04302
C03972	K00215
K02564	C00085
C01929	K00013
K00764	C03090
K00925	C00227
C00049	K01876
C00106	K00761
C05744	K00059
K02437	C00014
C00655	K03816
C00286	K02341
C12214	K00615
K00145	C04133
C04421	K01439
K01653	C00022
K07407	C00137
K01704	C04411
K14155	C01962
K11533	C05755
C00093	K00057
