KO_code	Compound_codes
K03217	
K03216	
K03743	
K03218	
K03664	
K03665	
K09772	
K09775	
K02342	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K04043	
K02341	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K02346	
K01808	C00199,C00199,C00199,C00199,C00199,C00199,C00199,C18096,C18096
K03696	
K03695	
K03694	
K01803	C00111,C00111,C00118,C00111,C00118,C00111,C00111,C00111,C00111
K06012	
K01805	C00095,C00095,C00310,C00310
K03698	
K03324	
K03282	
K13963	
K04079	
K01243	C03539,C03539,C03539,C03089,C00170
K12410	
K03106	
K03101	
K03100	
K02990	
K16787	
K16786	
K16785	
K15583	
K16789	
K01893	C03402
K01892	C02988
K01890	C03511
K00858	C00006,C00006
K00948	C00119,C00119,C00117,C00119,C00119,C00119,C00119
K00949	C03028,C03028,C00068,C00378
K00820	C00352,C00352,C00352
K00942	C00035,C00035,C00361,C00362
K00943	C00363,C00363,C01346,C00365
K06881	
K06885	
K01091	C00160,C00160,C00160
K06334	
K06889	
K08884	
K10947	
K09697	
K09696	
K01489	C00299,C00299,C00526,C12739
K02968	
K01520	C00365,C00365
K02967	
K02965	
K01480	C00134,C00134
K02961	
K06904	
K03568	
K01662	C11437,C11437,C00118,C00022,C11437
K03565	
K00761	C00106,C00105
K01462	
K00767	C01185,C01185
K03076	
K02863	
K02860	
K02867	
K07447	
K02864	
K00640	C00979,C00979,C00065,C00979,C00979,C00979
K06346	
K09825	
K02049	
K00540	
K17319	
K03701	
K03700	
K03703	
K03702	
K03705	
K03499	
K03498	
K06153	C00009,C17556
K03495	
K09903	C00015,C00105
K17103	C02737,C02737,C00269
K03798	
K02945	
K02469	
K07742	
