BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	No_Antibiotics-Mock(median)	Streptomycin-Infected(median)	Streptomycin-Mock(median)	Cefoperzone-Infected(median)	Cefoperzone-Mock(median)	Clindamycin-Infected(median)	Clindamycin-Mock(median)
Guanosine	Nucleotide	Purine_Metabolism,_Guanine_containing	17.2873	0.7493	0.5683	0.276	0.2021	0.2072	0.1608
Guanosine-2',3'-cyclic_monophosphate	Nucleotide	Purine_Metabolism,_Guanine_containing	1	0.2822	0.2822	0.2822	0.2822	0.2822	0.2822
Gulonate*	Cofactors_and_Vitamins	Ascorbate_and_Aldarate_Metabolism	0.0265	0.7815	0.2624	1.6577	1.7634	0.2432	0.1974
Heme	Cofactors_and_Vitamins	Hemoglobin_and_Porphyrin_Metabolism	0.4628	0.8091	1.0544	0.6728	0.9522	1.2328	1.56
Hexadecanedioate	Lipid	Fatty_Acid,_Dicarboxylate	11.6355	1.1686	1.1047	0.7858	0.7536	2.2385	1.1433
Hexanoylcarnitine_(C6)	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	0.1515	0.4307	0.5735	1.1808	0.5816	0.1064	0.1064
Hippurate	Xenobiotics	Benzoate_Metabolism	1.434	0.3398	0.5614	0.3398	0.3398	0.7506	0.5914
Histamine	Amino_Acid	Histidine_Metabolism	0.3799	1.2006	1.2389	0.8377	1.2066	1.1348	1.3333
Histidine	Amino_Acid	Histidine_Metabolism	0.9546	0.8149	0.7661	0.8171	1.5544	0.6674	0.872
Histidylalanine	Peptide	Dipeptide	2.3305	0.1595	0.5452	1.1654	1.7388	0.1595	0.3219
Homocitrulline	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	2.5064	0.7309	0.6608	0.8157	1.002	0.3277	0.5797
Homoserine	Amino_Acid	Glycine,_Serine_and_Threonine_Metabolism	3.1003	0.6478	0.7612	1.0102	1.1656	0.6228	0.6618
Hydroxymethylpyrimidine	Cofactors_and_Vitamins	Thiamine_Metabolism	1.9526	0.1455	1.1539	0.1455	0.1455	0.1455	0.1455
Hyocholate	Lipid	Secondary_Bile_Acid_Metabolism	19.9517	1.0062	1.0553	0.1443	0.1298	0.1298	0.1298
Hyodeoxycholate	Lipid	Secondary_Bile_Acid_Metabolism	104.7009	2.7642	1.5892	0.5316	0.2129	0.1796	0.0687
Hypotaurine	Amino_Acid	Methionine,_Cysteine,_SAM_and_Taurine_Metabolism	1.316	1.8703	1.0739	0.9476	1.1421	0.3719	0.8561
Hypoxanthine	Nucleotide	Purine_Metabolism,_(Hypo)Xanthine/Inosine_containing	5.6472	1.5859	1.0179	0.8776	1.067	1.0506	0.9754
Imidazole_lactate	Amino_Acid	Histidine_Metabolism	0.206	2.0015	2.0731	0.948	1	4.6959	3.9957
Imidazole_propionate	Amino_Acid	Histidine_Metabolism	3.8627	3.276	1.2619	1.0256	1.0144	0.6592	0.6769
Indole-3-carboxylic_acid	Amino_Acid	Tryptophan_Metabolism	1.5116	3.1113	1.2418	0.8522	0.9615	1.2342	1.0845
Indoleacetate	Amino_Acid	Tryptophan_Metabolism	6.475	1.6332	0.8167	0.8047	0.7045	1.6005	1.2359
Indolelactate	Amino_Acid	Tryptophan_Metabolism	0.0209	1.0071	0.3431	1.0677	1.6531	2.0441	2.3487
Indolepropionate	Amino_Acid	Tryptophan_Metabolism	1	0.4744	0.4744	0.4744	0.4744	0.4744	0.4744
Indolin-2-one	Xenobiotics	Food_Component/Plant	1.0713	0.0078	0.0078	0.0078	0.0078	0.0078	0.0078
Inosine	Nucleotide	Purine_Metabolism,_(Hypo)Xanthine/Inosine_containing	36.1591	1.4077	0.9581	0.6348	0.7934	0.2306	0.3524
Inositol_hexakisphosphate	Lipid	Inositol_Metabolism	2.2192	0.7886	0.5753	0.0657	0.0657	0.0657	0.0657
Isobutyrylcarnitine_(C4)	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	0.2139	0.2139	0.2139	0.3863	0.2139	0.5911	0.2139
Isobutyrylglycine	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	0.6741	0.9857	1.0581	1.2941	1.684	1.041	1.2048
Isocaproate	Lipid	Fatty_Acid,_Branched	0.2334	0.2334	0.2334	0.2334	0.2334	0.2334	0.2334
Isocitric_lactone	Energy	TCA_Cycle	0.003	1.0796	1.845	1.1302	1.325	1.1502	1.0034
Isoleucine	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	1.6008	0.6133	1.1274	0.765	1.8666	0.7522	1.1252
Isoleucylglycine	Peptide	Dipeptide	10.6491	1.1726	0.944	0.8509	1.5616	1.095	0.9556
Isovalerate	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	1.5383	0.3514	0.3514	0.3514	0.3514	0.3514	0.3514
Isovalerylcarnitine_(C5)	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	0.7565	2.6296	1.0726	1.3083	0.5724	0.793	0.3922
Isovalerylglycine	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	0.5709	0.9342	1.0088	1.0816	1.5913	1.2615	1.5372
Kynurenate	Amino_Acid	Tryptophan_Metabolism	3.47	1.2435	0.9104	1.047	1.0944	1.6184	1.1189
Kynurenine	Amino_Acid	Tryptophan_Metabolism	1.8236	0.7889	0.6415	0.9832	1.0447	0.3757	0.3757
Lactate	Carbohydrate	Glycolysis,_Gluconeogenesis,_and_Pyruvate_Metabolism	0.1026	1.4217	0.4638	3.3357	2.3705	3.3255	1.5129
Lactobionate	Carbohydrate	Disaccharides_and_Oligosaccharides	0.0427	0.8039	1.038	1.4474	1.016	1.5518	1.6642
Laurylcarnitine_(C12)	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	0.1238	0.6761	0.9052	1.0138	1.1123	0.1238	0.1776
Leucine	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	1.7499	0.6324	1.1413	0.7068	1.8107	0.8219	1.2642
Leucylalanine	Peptide	Dipeptide	4.6155	0.8813	1.0044	2.0271	0.9924	0.5823	0.5543
Leucylglutamine*	Peptide	Dipeptide	5.4078	0.8489	0.7311	1.949	1.0321	0.7248	0.7346
Leucylglycine	Peptide	Dipeptide	8.3143	1.3952	1.26	1.0225	0.9165	0.9691	0.9793
Linoleate_(18:2n6)	Lipid	Polyunsaturated_Fatty_Acid_(n3_and_n6)	4.1914	0.6742	1.1004	0.373	0.6173	0.6644	0.8965
Linolenate_[alpha_or_gamma;_(18:3n3_or_6)]	Lipid	Polyunsaturated_Fatty_Acid_(n3_and_n6)	4.0504	0.6489	1	0.5933	0.6332	0.8109	1.0555
Linolenoyl-linolenoyl-glycerol_(18:3/18:3)_[2]*	Lipid	Diacylglycerol	2.0247	0.7126	0.7478	0.434	0.898	0.5765	0.7932
Linoleoyl-arachidonoyl-glycerol_(18:2/20:4)_[1]*	Lipid	Diacylglycerol	1.1182	0.3763	0.3763	0.3763	0.7432	0.3763	0.3763
Linoleoyl-arachidonoyl-glycerol_(18:2/20:4)_[2]*	Lipid	Diacylglycerol	1.0211	0.7268	0.82	1.0811	1.038	0.6491	0.6647
Linoleoylcarnitine_(C18:2)*	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	0.9015	0.5978	1.1158	0.336	0.2233	0.9805	0.732
Linoleoylcholine*	Lipid	Fatty_Acid_Metabolism_(Acyl_Choline)	1.1234	0.3307	0.3307	0.3307	0.3307	0.4022	0.4174
Linoleoyl-docosahexaenoyl-glycerol_(18:2/22:6)_[1]*	Lipid	Diacylglycerol	1.4056	0.5628	0.7921	0.7949	1.2701	0.597	0.5974
Linoleoyl-docosahexaenoyl-glycerol_(18:2/22:6)_[2]*	Lipid	Diacylglycerol	0.77	0.7135	1.0856	0.9461	1.1227	0.6127	0.526
Linoleoyl_ethanolamide	Lipid	Endocannabinoid	3.6138	0.591	1.114	0.3579	0.4697	0.696	0.5518
Linoleoyl-linolenoyl-glycerol_(18:2/18:3)_[2]*	Lipid	Diacylglycerol	1.6272	0.7845	0.4778	1	1.3632	1.3518	1.3429
Linoleoyl-linoleoyl-glycerol_(18:2/18:2)_[1]*	Lipid	Diacylglycerol	1.6324	0.7606	0.5045	1.016	1.3402	1.2159	1.2605
Linoleoyl-linoleoyl-glycerol_(18:2/18:2)_[2]*	Lipid	Diacylglycerol	1.6925	1.0849	0.3928	1.1012	1.4181	1.0564	0.6251
Liquiritigenin	Xenobiotics	Food_Component/Plant	0.7137	0.6475	1.0786	0.1798	0.1798	0.1798	0.1798
Lithocholate	Lipid	Secondary_Bile_Acid_Metabolism	1	0.47	0.47	0.47	0.47	0.47	0.47
L-urobilin	Cofactors_and_Vitamins	Hemoglobin_and_Porphyrin_Metabolism	0.3722	0.7449	0.8324	1.0622	1.1107	1.3512	1.1531
Lysine	Amino_Acid	Lysine_Metabolism	1.1362	1.1015	1.1588	0.5931	1.045	0.5274	0.7929
Lysylleucine	Peptide	Dipeptide	9.805	1.3294	1.0083	1.4007	1.0795	1.028	0.7103
Malate	Energy	TCA_Cycle	2.2504	1.8991	1.2925	0.38	0.2725	3.9053	4.5929
Maleate	Lipid	Fatty_Acid,_Dicarboxylate	1.0907	0.7409	0.7973	1.1114	1.5654	1.6672	2.1192
Malonate	Lipid	Fatty_Acid_Synthesis	0.0929	0.9904	1.4283	0.9818	1.0848	1.6885	1.5838
Malonylcarnitine	Lipid	Fatty_Acid_Synthesis	0.6	1.0689	0.809	1.1128	1.0476	1.3417	1.2135
Maltol	Xenobiotics	Food_Component/Plant	1.7688	0.9172	0.8338	0.7163	0.7239	1.1185	1.6278
Maltopentaose	Carbohydrate	Glycogen_Metabolism	0.0168	0.0865	0.3009	1.5639	2.3637	3.983	3.1581
Maltose	Carbohydrate	Glycogen_Metabolism	0.0581	0.2629	0.0912	1.6331	1.9378	1.6164	1.5591
Maltotriose	Carbohydrate	Glycogen_Metabolism	0.017	0.3367	0.2996	0.8296	1.1519	1.3979	1.0177
Mannitol/sorbitol	Carbohydrate	Fructose,_Mannose_and_Galactose_Metabolism	0.4344	0.2977	0.3985	37.5582	37.6779	0.4713	0.4162
Mannose	Carbohydrate	Fructose,_Mannose_and_Galactose_Metabolism	3.7949	0.1655	0.2978	0.1655	0.1655	0.1655	0.1655
Margarate_(17:0)	Lipid	Long_Chain_Fatty_Acid	4.5723	0.9843	1.1949	0.5513	0.7057	0.6273	0.9306
Margaroylcarnitine*	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	1.7772	0.8642	0.8768	0.5965	0.8447	0.7364	0.5898
Methionine	Amino_Acid	Methionine,_Cysteine,_SAM_and_Taurine_Metabolism	3.163	0.9142	1.2661	0.6651	1.2891	0.7524	1.1231
Methionine_sulfoxide	Amino_Acid	Methionine,_Cysteine,_SAM_and_Taurine_Metabolism	2.4127	0.6048	0.6519	1	1.5228	0.3266	0.4449
Methyl_indole-3-acetate	Xenobiotics	Food_Component/Plant	0.5907	0.3051	0.3051	0.3051	0.3051	1.3531	2.6569
Methylmalonate_(MMA)	Lipid	Fatty_Acid_Metabolism_(also_BCAA_Metabolism)	5.7647	0.9614	0.9971	0.8199	0.8339	1.7388	1.4132
Methylphosphate	Nucleotide	Purine_and_Pyrimidine_Metabolism	2.3416	0.9865	1.3698	0.1741	0.2814	0.3127	0.4975
Methylsuccinate	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	16.3426	1.407	1.1737	0.8228	1.2441	0.9724	0.9711
Mevalonate	Lipid	Mevalonate_Metabolism	0.2208	3.9022	0.1472	3.0662	6.6191	2.2054	3.1863
Mevalonolactone	Lipid	Mevalonate_Metabolism	0.0137	1.4455	0.0561	1.3252	2.7943	0.8864	1.2585
Myo-inositol	Lipid	Inositol_Metabolism	0.0777	1.6763	1.2594	1.3773	1.4641	0.8446	0.7368
Myristate_(14:0)	Lipid	Long_Chain_Fatty_Acid	3.3062	0.9301	1.131	0.6848	0.841	0.7617	1.0874
Myristoleate_(14:1n5)	Lipid	Long_Chain_Fatty_Acid	3.427	0.8559	0.7677	0.6881	0.7604	1.0478	2.0425
Myristoleoylcarnitine_(C14:1)*	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	0.0587	0.6365	1.1014	1.134	1.2232	0.2576	0.3364
Myristoylcarnitine_(C14)	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	0.3477	0.3735	0.31	1.2276	1.2344	0.8868	1
Myristoyl-linoleoyl-glycerol_(14:0/18:2)_[1]*	Lipid	Diacylglycerol	1.1089	0.2976	0.2976	0.2976	0.3047	0.2976	0.2976
Myristoyl-linoleoyl-glycerol_(14:0/18:2)_[2]*	Lipid	Diacylglycerol	1.716	0.7917	0.5261	1.1427	1.7173	0.8445	0.7618
N('1)-acetylspermidine	Amino_Acid	Polyamine_Metabolism	0.3416	1.8326	0.9781	1.0451	1.2506	1.3495	1.6321
N1-Methyl-2-pyridone-5-carboxamide	Cofactors_and_Vitamins	Nicotinate_and_Nicotinamide_Metabolism	0.0668	0.929	1.1171	1.0267	1.204	1.233	1.2689
N1-Methyl-4-pyridone-3-carboxamide	Cofactors_and_Vitamins	Nicotinate_and_Nicotinamide_Metabolism	0.0752	0.7159	0.8401	1.1229	1.2231	1.3878	1.2389
N1-methyladenosine	Nucleotide	Purine_Metabolism,_Adenine_containing	1.1335	0.5728	0.3324	0.3324	0.7269	0.3324	0.3324
N1-methylguanosine	Nucleotide	Purine_Metabolism,_Guanine_containing	0.5544	0.1399	0.0467	1.0783	0.9846	0.0467	0.0467
N1-methylinosine	Nucleotide	Purine_Metabolism,_(Hypo)Xanthine/Inosine_containing	0.719	0.719	0.719	0.719	0.719	0.719	0.719
N1,N12-diacetylspermine	Amino_Acid	Polyamine_Metabolism	0.2499	1.5003	0.2783	3.1614	4.4378	0.6689	1.3277
N2-acetyllysine	Amino_Acid	Lysine_Metabolism	1.2159	1.8915	1.3999	0.9129	1.0971	0.7599	0.6861
N-2-hydroxypalmitoyl-sphingosine_(d18:1/16:0(2OH))	Lipid	Sphingolipid_Metabolism	2.6021	1.1247	0.7147	0.2823	0.5416	0.2823	0.2823
N2,N2-dimethylguanine	Nucleotide	Purine_Metabolism,_Guanine_containing	0.0465	0.0465	1.1204	0.094	2.0463	0.0465	0.8912
N2,N2-dimethylguanosine	Nucleotide	Purine_Metabolism,_Guanine_containing	0.2806	0.2806	0.2806	0.2806	0.2806	0.2806	0.2806
N2,N6-diacetyllysine	Amino_Acid	Lysine_Metabolism	1.0499	1.9531	1.0838	1.019	1.0707	0.8714	1.0571
N6-acetyllysine	Amino_Acid	Lysine_Metabolism	2.1496	1.0186	1.4024	0.5534	0.639	0.281	0.4967
N6-carbamoylthreonyladenosine	Nucleotide	Purine_Metabolism,_Adenine_containing	0.1258	0.0798	0.4233	0.8362	1.1455	1.2307	1.2352
N6-carboxymethyllysine	Carbohydrate	Advanced_Glycation_End-product	0.38	0.7401	0.7921	0.9535	1.0123	1.1185	1.0425
N6-formyllysine	Amino_Acid	Lysine_Metabolism	1.1865	0.6172	0.726	0.8142	1.1836	0.5152	0.7271
N6,N6-dimethyladenosine	Nucleotide	Purine_Metabolism,_Adenine_containing	0.2677	0.894	1.0093	1.7793	1.4107	0.8726	1.0429
N6,N6,N6-trimethyllysine	Amino_Acid	Lysine_Metabolism	0.4105	1.1352	1.0453	0.8667	1.076	0.7419	0.7544
N6-succinyladenosine	Nucleotide	Purine_Metabolism,_Adenine_containing	0.0426	0.0518	0.0898	1.0992	1.7299	1.0676	1.371
N-acetyl-1-methylhistidine*	Amino_Acid	Histidine_Metabolism	1.8917	1.2903	1.2201	1.0662	1.0705	0.8829	1.0277
N-acetyl-3-methylhistidine*	Amino_Acid	Histidine_Metabolism	2.6846	1.0807	0.9184	0.9315	1	1.0755	1.0989
N-acetylalanine	Amino_Acid	Alanine_and_Aspartate_Metabolism	0.1206	0.8447	1.3188	1.1889	1.6592	1.1695	1.5387
N-acetylarginine	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	0.3262	0.3274	1.9825	1.1945	2.3574	0.8004	1.413
N-acetylasparagine	Amino_Acid	Alanine_and_Aspartate_Metabolism	1.3774	1.1494	0.474	1.1002	1.469	0.9474	0.9475
N-acetylaspartate_(NAA)	Amino_Acid	Alanine_and_Aspartate_Metabolism	4.771	3.4787	1.6906	0.962	1.3747	0.6918	1
N-acetyl-aspartyl-glutamate_(NAAG)	Amino_Acid	Glutamate_Metabolism	0.0287	0.9705	1.319	1.0558	1.232	1.0775	1.0498
N-acetyl-beta-alanine	Nucleotide	Pyrimidine_Metabolism,_Uracil_containing	0.7934	1	0.7834	0.3299	0.5606	0.9127	1.2994
N-acetyl-beta-glucosaminylamine	Carbohydrate	Aminosugar_Metabolism	3.9914	1.0116	1.0913	0.52	0.7512	0.6825	0.8428
N-acetyl-cadaverine	Amino_Acid	Lysine_Metabolism	2.0658	4.2165	1.8329	0.5784	0.7378	2.0637	3.9356
N-acetylcitrulline	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	2.9367	2.6132	1.2215	0.7215	0.852	0.6917	0.731
N-acetylcysteine	Amino_Acid	Methionine,_Cysteine,_SAM_and_Taurine_Metabolism	1.9302	1.1596	1.0756	1.0909	0.9552	1.1591	1
N-acetylglucosamine_6-sulfate	Carbohydrate	Aminosugar_Metabolism	0.4	0.1795	0.1795	0.1795	0.1795	0.1795	0.1795
N-acetylglucosamine/N-acetylgalactosamine	Carbohydrate	Aminosugar_Metabolism	9.8692	0.1051	1.1953	0.0266	0.0266	0.0266	0.0266
N-acetylglucosaminylasparagine	Carbohydrate	Aminosugar_Metabolism	0.0748	0.0729	1.0243	0.4731	1.1958	0.1131	1.6495
N-acetylglutamate	Amino_Acid	Glutamate_Metabolism	24.1297	4.5289	5.147	0.634	0.7906	1.4699	1.0573
N-acetylglutamine	Amino_Acid	Glutamate_Metabolism	3.0184	2.3592	0.3159	0.9227	1.0873	1.3011	1.0761
N-acetylglycine	Amino_Acid	Glycine,_Serine_and_Threonine_Metabolism	1.2108	11.8364	2.2177	1.1002	1.1612	0.8727	0.8911
N-acetylhistamine	Amino_Acid	Histidine_Metabolism	0.5355	0.756	1.9238	1.0207	1.9785	0.7428	1.3444
N-acetylhistidine	Amino_Acid	Histidine_Metabolism	0.5335	1.7608	1.1016	1.13	1.2692	0.8582	1.1003
N-acetylisoleucine	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	0.1556	0.9146	1.6719	1.1152	1.4017	0.7493	2.0503
N-acetylleucine	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	0.5281	0.826	1.6835	1.2696	1.6761	0.3493	1.4706
N-acetylmethionine	Amino_Acid	Methionine,_Cysteine,_SAM_and_Taurine_Metabolism	0.3496	0.8465	0.927	1.8163	2.5642	0.8567	2.0672
N-acetylmethionine_sulfoxide	Amino_Acid	Methionine,_Cysteine,_SAM_and_Taurine_Metabolism	0.545	1	0.2974	1.4831	1.6394	0.1912	0.3361
N-acetylmuramate	Carbohydrate	Aminosugar_Metabolism	5.8002	2.2644	1.0335	0.8422	0.9653	1	0.8501
N-acetylneuraminate	Carbohydrate	Aminosugar_Metabolism	1.3115	0.6225	1.1035	0.9517	1.778	0.3567	0.496
N-acetylphenylalanine	Amino_Acid	Phenylalanine_Metabolism	0.7991	0.6846	2.6099	1.6829	2.2585	0.2785	2.0766
N-acetylproline	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	0.1099	1.2151	1.1924	1.2487	1.0334	1.5604	1.4372
N-acetylputrescine	Amino_Acid	Polyamine_Metabolism	0.3663	6.8422	3.8417	0.8359	1	4.163	5.113
N-acetylpyrraline	Xenobiotics	Food_Component/Plant	0.352	1.0814	0.747	1.0028	1	0.8075	0.7585
N-acetylserine	Amino_Acid	Glycine,_Serine_and_Threonine_Metabolism	1.689	0.5583	1.9707	0.1935	2.4865	0.2188	1.7537
N-acetyltaurine	Amino_Acid	Methionine,_Cysteine,_SAM_and_Taurine_Metabolism	2.6887	1.1739	1.1116	1.2525	0.9611	0.5331	0.8916
N-acetylthreonine	Amino_Acid	Glycine,_Serine_and_Threonine_Metabolism	1.3621	0.4265	2.6469	0.617	8.4871	0.679	4.4155
N-acetyltryptophan	Amino_Acid	Tryptophan_Metabolism	0.108	0.875	1.4498	1.4421	1.9191	0.2469	1.4392
N-acetyltyrosine	Amino_Acid	Tyrosine_Metabolism	0.504	1.1834	1.8141	1.2514	1.2099	0.1946	1.0284
N-acetylvaline	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	0.1166	0.8945	1.1851	1.296	1.4555	0.9911	1.6224
N-alpha-acetylornithine	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	3.5759	2.08	1.2798	0.9465	0.9587	0.692	0.7134
Naringenin	Xenobiotics	Food_Component/Plant	0.3854	4.8073	7.327	0.9598	0.9819	1.5961	1.1521
Naringenin_7-glucuronide	Xenobiotics	Food_Component/Plant	0.3507	0.7317	0.6709	1.1273	1.2401	1.22	1.1147
Naringenin_7-O-glucoside	Xenobiotics	Food_Component/Plant	0.6339	0.6866	0.6339	0.6339	0.8321	0.6339	0.8347
N-carbamoylaspartate	Nucleotide	Pyrimidine_Metabolism,_Orotate_containing	1	0.8047	0.9364	23.4501	39.7511	0.4886	0.4128
N-delta-acetylornithine	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	10.5219	1.6842	2.2566	0.6866	0.7412	0.4718	0.5787
Nervonate_(24:1n9)*	Lipid	Long_Chain_Fatty_Acid	2.0223	0.824	1.0411	0.7698	0.7358	0.8372	1
N-formylanthranilic_acid	Amino_Acid	Tryptophan_Metabolism	3.7364	1.1532	1.3366	0.8282	0.8687	0.9957	1.3026
N-formylmethionine	Amino_Acid	Methionine,_Cysteine,_SAM_and_Taurine_Metabolism	1.1835	1.1422	0.657	1.3276	1.8278	0.7825	1.2229
N-formylphenylalanine	Amino_Acid	Tyrosine_Metabolism	2.3159	0.8614	1.0863	1.1096	1.519	0.4669	0.8706
N-glycolylneuraminate	Xenobiotics	Food_Component/Plant	1.776	0.5851	0.3721	0.5449	1.1377	0.2287	0.2287
Nicotianamine	Xenobiotics	Food_Component/Plant	0.1003	1.1289	1.007	1.1552	1.1099	1.2062	1.1519
Nicotinamide	Cofactors_and_Vitamins	Nicotinate_and_Nicotinamide_Metabolism	1.5821	1.7839	1	0.8756	0.7842	0.3344	0.2809
Nicotinamide_N-oxide	Cofactors_and_Vitamins	Nicotinate_and_Nicotinamide_Metabolism	0.0508	0.0508	0.0508	0.7659	0.6763	0.0508	0.0508
Nicotinamide_ribonucleotide_(NMN)	Cofactors_and_Vitamins	Nicotinate_and_Nicotinamide_Metabolism	0.0368	2.3427	1.147	1.2068	1.016	0.0368	0.0368
Nicotinamide_riboside	Cofactors_and_Vitamins	Nicotinate_and_Nicotinamide_Metabolism	1.3766	3.4837	1.1173	1.1091	1.2732	0.7183	1.0257
Nicotinate	Cofactors_and_Vitamins	Nicotinate_and_Nicotinamide_Metabolism	6.5674	1.3574	0.9031	0.7484	0.816	1.3527	1.1303
Nicotinate_ribonucleoside	Cofactors_and_Vitamins	Nicotinate_and_Nicotinamide_Metabolism	12.2732	2.4042	1.4802	4.2622	4.6443	0.5265	0.5709
Nicotinic_acid_mononucleotide_(NaMN)	Cofactors_and_Vitamins	Nicotinate_and_Nicotinamide_Metabolism	2.6763	0.9762	0.8796	0.1036	0.1036	0.1036	0.1036
N-methylalanine	Amino_Acid	Alanine_and_Aspartate_Metabolism	1	0.5064	0.5064	0.5064	0.5064	0.5064	0.5064
N-methyl-GABA	Amino_Acid	Glutamate_Metabolism	2.3258	0.7617	0.7855	1.1182	1.0012	1.2814	1.2604
N-methylpipecolate	Xenobiotics	Chemical	5.063	0.8949	0.9011	1.142	1.1289	1.2826	1.086
N-methylproline	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	105.6969	0.3238	0.7673	0.3238	0.3238	0.3238	0.8688
N-monomethylarginine	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	1.0967	0.6298	1.0493	0.8155	1.0925	0.7344	0.8381
Nonadecanoate_(19:0)	Lipid	Long_Chain_Fatty_Acid	2.3612	0.7331	1.1249	0.6843	0.9944	0.8161	0.9378
N-palmitoylglycine	Lipid	Fatty_Acid_Metabolism(Acyl_Glycine)	0.2722	0.7021	1.0947	0.9672	0.2722	0.2722	0.2722
N-palmitoyl-sphinganine_(d18:0/16:0)	Lipid	Sphingolipid_Metabolism	0.9913	1.1627	1.455	0.9832	1.3712	0.7703	0.731
N-palmitoyl-sphingosine_(d18:1/16:0)	Lipid	Ceramides	1.6015	1.3944	1.1729	0.8754	1.387	1.213	0.8926
N-stearoyl-sphingosine_(d18:1/18:0)*	Lipid	Ceramides	2.6874	1.1665	0.8036	0.6022	0.8641	1.0385	1.0357
N-stearoyltaurine	Lipid	Endocannabinoid	3.0708	0.2172	0.2172	0.2172	0.2172	0.2172	0.2172
N-trimethyl_5-aminovalerate	Amino_Acid	Lysine_Metabolism	1	0.5188	0.5188	0.5188	0.5188	0.5188	0.5188
O-acetylhomoserine	Amino_Acid	Glycine,_Serine_and_Threonine_Metabolism	5.1608	2.1033	6.7363	0.6219	0.9192	0.8853	0.1485
Octanoylcarnitine_(C8)	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	0.1431	0.2097	0.8205	0.8711	0.8146	0.1431	0.1431
Oleanolate	Xenobiotics	Food_Component/Plant	172.4341	0.5834	0.9742	0.2687	0.8936	0.3937	0.4327
Oleate/vaccenate_(18:1)	Lipid	Long_Chain_Fatty_Acid	4.4969	0.8979	1	0.3372	0.6582	0.5541	0.8739
Oleoyl-arachidonoyl-glycerol_(18:1/20:4)_[2]*	Lipid	Diacylglycerol	1.9821	0.8969	0.8731	1	1.1848	0.7051	0.5581
Oleoylcarnitine_(C18:1)	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	1.7429	0.9203	0.9546	0.4712	0.3565	0.7067	0.5949
Oleoylcholine	Lipid	Fatty_Acid_Metabolism_(Acyl_Choline)	1.2774	0.4146	0.4146	0.4146	0.4146	0.4807	0.45
Oleoyl_ethanolamide	Lipid	Endocannabinoid	4.3295	1.0948	1.2488	0.6602	0.727	0.6812	0.614
Oleoyl-linolenoyl-glycerol_(18:1/18:3)_[2]*	Lipid	Diacylglycerol	1.4755	0.906	0.3813	1.0879	1.3486	0.912	0.6368
Oleoyl-linoleoyl-glycerol_(18:1/18:2)_[1]	Lipid	Diacylglycerol	1.1254	0.7879	0.5466	1.0336	1.3303	1.1979	1.2709
Oleoyl-linoleoyl-glycerol_(18:1/18:2)_[2]	Lipid	Diacylglycerol	1.5063	0.9467	0.5299	1.2968	1.5528	1	0.9084
Oleoyl-oleoyl-glycerol_(18:1/18:1)__[1]*	Lipid	Diacylglycerol	1.5058	0.7879	0.4967	1.0146	1.435	1.2127	1.1001
Oleoyl-oleoyl-glycerol_(18:1/18:1)_[2]*	Lipid	Diacylglycerol	1.6182	1.0429	0.5435	1.3001	2.0554	0.9011	1
O-methyltyrosine	Amino_Acid	Tyrosine_Metabolism	0.67	1.1538	1.1199	0.9655	1.0682	1.0254	1.0553
Ornithine	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	2.1557	8.427	1.2801	0.1984	0.2148	0.3062	0.6822
Orotate	Nucleotide	Pyrimidine_Metabolism,_Orotate_containing	0.1145	0.5451	0.305	7.8514	8.0586	4.1366	3.1843
Orotidine	Nucleotide	Pyrimidine_Metabolism,_Orotate_containing	0.0494	1.1814	1.3474	0.886	0.9444	1.3121	1.3233
