BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	No_Antibiotics-Mock(median)	Streptomycin-Infected(median)	Streptomycin-Mock(median)	Cefoperzone-Infected(median)	Cefoperzone-Mock(median)	Clindamycin-Infected(median)	Clindamycin-Mock(median)
1-oleoyl-GPC_(18:1)	Lipid	Lysophospholipid	1.6379	0.8068	0.6986	0.5243	1.0771	1.1196	0.7247
1-oleoyl-GPE_(18:1)	Lipid	Lysophospholipid	1.2607	1.2199	1.3622	0.5459	0.591	1.0878	1.5438
1-oleoyl-GPG_(18:1)*	Lipid	Lysophospholipid	10.5232	0.2113	0.099	0.6787	0.4887	0.8087	1.0103
1-palmitoleoyl-2-linoleoyl-GPC_(16:1/18:2)*	Lipid	Phosphatidylcholine_(PC)	1.6859	1.1544	1.0923	0.5932	1.3863	0.4557	0.5709
1-palmitoleoylglycerol_(16:1)*	Lipid	Monoacylglycerol	2.0984	0.8938	0.8196	1.4494	1.1198	0.6499	0.8252
1-palmitoyl-2-alpha-linolenoyl-GPC_(16:0/18:3n3)*	Lipid	Phosphatidylcholine_(PC)	1.0277	1.2945	1.0733	0.9633	1.2553	0.8087	0.605
1-palmitoyl-2-arachidonoyl-GPC_(16:0/20:4n6)	Lipid	Phosphatidylcholine_(PC)	1.8635	1.0524	0.9006	0.5845	0.8171	1.0309	0.8358
1-palmitoyl-2-arachidonoyl-GPE_(16:0/20:4)*	Lipid	Phosphatidylethanolamine_(PE)	2.5048	1.4249	1.3117	0.7751	0.791	1.22	0.9136
1-palmitoyl-2-linoleoyl-GPC_(16:0/18:2)	Lipid	Phosphatidylcholine_(PC)	1.1395	1.0251	1.2189	0.8117	1.0128	0.9069	0.7106
1-palmitoyl-2-linoleoyl-GPE_(16:0/18:2)	Lipid	Phosphatidylethanolamine_(PE)	1.9124	0.9955	1.8111	0.4969	0.485	3.6003	3.1776
1-palmitoyl-2-oleoyl-GPC_(16:0/18:1)	Lipid	Phosphatidylcholine_(PC)	2.8621	1.2785	1.3084	0.6603	1.0901	0.9028	0.6225
1-palmitoyl-2-oleoyl-GPE_(16:0/18:1)	Lipid	Phosphatidylethanolamine_(PE)	1.169	1.3831	0.9351	0.2731	0.4015	4.0781	3.1001
1-palmitoyl-2-oleoyl-GPG_(16:0/18:1)	Lipid	Phosphatidylglycerol_(PG)	4.5048	0.7787	0.2128	0.2361	0.7193	1.2817	1.2696
1-palmitoyl-2-palmitoleoyl-GPC_(16:0/16:1)*	Lipid	Phosphatidylcholine_(PC)	2.7745	1.3448	1.367	0.8251	1.2813	0.7287	0.4772
1-palmitoyl-2-stearoyl-GPC_(16:0/18:0)	Lipid	Phosphatidylcholine_(PC)	0.9248	0.9759	1.0012	0.7094	1.0604	1.0442	0.8085
1-palmitoylglycerol_(16:0)	Lipid	Monoacylglycerol	1.451	0.6294	0.7692	0.9142	0.8867	0.7063	0.8652
1-palmitoyl-GPA_(16:0)	Lipid	Lysophospholipid	35.2664	1.1394	1.2519	0.7658	0.8429	0.707	0.8519
1-palmitoyl-GPC_(16:0)	Lipid	Lysophospholipid	1.6777	0.7412	0.5233	0.5623	0.9412	1.1187	0.8211
1-palmitoyl-GPE_(16:0)	Lipid	Lysophospholipid	1.8862	1.1622	1.0987	0.3938	0.559	2.8295	1.9127
1-palmitoyl-GPG_(16:0)*	Lipid	Lysophospholipid	36.114	1.1813	1.3273	0.5514	0.6499	2.1519	2.4231
1-palmitoyl-GPI_(16:0)	Lipid	Lysophospholipid	4.7955	0.7147	0.5276	0.656	0.8076	0.7712	1.1142
1-pentadecanoylglycerol_(15:0)	Lipid	Monoacylglycerol	9.1499	2.0142	1.0016	0.2518	0.2518	0.2518	0.2518
1-stearoyl-2-arachidonoyl-GPC_(18:0/20:4)	Lipid	Phosphatidylcholine_(PC)	1.7153	0.9693	1	0.6177	0.9161	1.2372	0.9783
1-stearoyl-2-arachidonoyl-GPE_(18:0/20:4)	Lipid	Phosphatidylethanolamine_(PE)	0.6896	1.1535	1.2673	0.925	1.1273	1.2408	0.8831
1-stearoyl-2-arachidonoyl-GPI_(18:0/20:4)	Lipid	Phosphatidylinositol_(PI)	2.4553	1.1808	1.1007	0.5142	0.8965	1.2533	0.8793
1-stearoyl-2-linoleoyl-GPC_(18:0/18:2)*	Lipid	Phosphatidylcholine_(PC)	1.2389	1.263	1.3322	0.8557	1.0308	0.9848	0.7443
1-stearoyl-2-linoleoyl-GPE_(18:0/18:2)*	Lipid	Phosphatidylethanolamine_(PE)	0.4701	1.4712	1.3985	0.9873	1.0349	1.1853	0.9676
1-stearoyl-2-linoleoyl-GPI_(18:0/18:2)	Lipid	Phosphatidylinositol_(PI)	0.5751	1.6747	1.3474	0.6534	0.9448	0.8416	0.7296
1-stearoyl-2-oleoyl-GPC_(18:0/18:1)	Lipid	Phosphatidylcholine_(PC)	2.55	1.4842	1.4139	0.6689	1.1067	0.9416	0.6819
1-stearoyl-2-oleoyl-GPE_(18:0/18:1)	Lipid	Phosphatidylethanolamine_(PE)	2.1481	1.2493	2.0446	0.8997	1.1058	0.8648	0.6242
1-stearoyl-GPA_(18:0)	Lipid	Lysophospholipid	54.3276	1.8376	1	0.562	0.3895	0.6858	0.7433
1-stearoyl-GPC_(18:0)	Lipid	Lysophospholipid	1.7343	0.7041	0.5077	0.5584	0.675	1.3425	0.7402
1-stearoyl-GPE_(18:0)	Lipid	Lysophospholipid	1.1808	0.7572	0.5385	0.7272	0.7508	1.3082	0.6832
1-stearoyl-GPG_(18:0)	Lipid	Lysophospholipid	32.4137	0.8699	0.3365	2.2679	1.0696	1.017	1.0485
1-stearoyl-GPI_(18:0)	Lipid	Lysophospholipid	4.399	0.7828	1.1374	0.5141	0.4061	0.7571	0.6504
1-stearoyl-GPS_(18:0)*	Lipid	Lysophospholipid	3.4199	0.8007	1.7515	0.4777	0.6755	0.831	0.7483
20-hydroxyecdysone	Xenobiotics	Food_Component/Plant	0.3325	0.9262	1.7045	0.3325	0.3325	0.3325	0.3325
2,3-dihydroxy-2-methylbutyrate	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	0.3624	2.0574	0.5532	1.3468	1.6518	1	0.7391
2,3-dihydroxyisovalerate	Xenobiotics	Food_Component/Plant	1.6397	1.3933	8.5208	0.0816	0.1019	1.1099	0.7614
2,4,6-trihydroxybenzoate	Xenobiotics	Benzoate_Metabolism	3.0671	1.2926	1.5123	0.7917	0.8819	1.001	1.0463
2-(4-hydroxyphenyl)propionate	Xenobiotics	Benzoate_Metabolism	1	0.4903	0.4903	0.4903	0.4903	0.4903	0.4903
2,8-quinolinediol	Xenobiotics	Food_Component/Plant	1	0.8813	0.8813	0.8813	0.8813	0.8813	0.8813
2,8-quinolinediol_sulfate	Xenobiotics	Food_Component/Plant	0.1068	0.994	0.8357	1.1485	1.5931	1.8996	1.6664
2-acetamidophenol_sulfate	Xenobiotics	Drug	0.2235	1.0375	1.1135	0.9551	0.8732	1.3695	1.1867
2-aminoadipate	Amino_Acid	Lysine_Metabolism	0.5212	1.0185	1.1162	1.0022	1.0718	0.9358	0.7552
2-aminobutyrate	Amino_Acid	Glutathione_Metabolism	1.5163	1.0716	1	3.2585	0.2977	0.6209	0.8911
2-aminophenol_sulfate	Xenobiotics	Chemical	0.5285	0.9637	0.8615	0.5357	0.8667	1.259	2.3009
2'-deoxyadenosine	Nucleotide	Purine_Metabolism,_Adenine_containing	40.003	0.7027	0.7388	0.3213	0.4944	0.3213	0.8493
2'-deoxyadenosine_5'-monophosphate	Nucleotide	Purine_Metabolism,_Adenine_containing	1.4891	0.5215	0.1	0.1	0.1	0.1	0.1
2'-deoxycytidine	Nucleotide	Pyrimidine_Metabolism,_Cytidine_containing	2.3375	1	0.2673	1.1077	0.7308	0.1377	0.1699
2'-deoxycytidine_5'-monophosphate	Nucleotide	Pyrimidine_Metabolism,_Cytidine_containing	5.0201	1.6046	0.1791	0.2133	0.1248	0.1248	0.1248
2'-deoxyguanosine	Nucleotide	Purine_Metabolism,_Guanine_containing	6.593	2.4996	0.5216	0.5025	0.1558	0.4146	0.4502
2'-deoxyinosine	Nucleotide	Purine_Metabolism,_(Hypo)Xanthine/Inosine_containing	8.9974	4.4457	0.4144	0.5947	0.2659	0.5693	0.3005
2'-deoxyuridine	Nucleotide	Pyrimidine_Metabolism,_Uracil_containing	5.2152	1.3044	0.2231	0.1135	0.0763	0.6742	0.28
2-docosahexaenoylglycerol_(22:6)*	Lipid	Monoacylglycerol	0.5093	0.6056	0.986	0.2851	0.2851	0.2851	0.2851
2-hydroxy-3-methylvalerate	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	0.0468	0.6926	0.1812	1.9173	3.4547	2.3882	3.4683
2-hydroxyadipate	Lipid	Fatty_Acid,_Dicarboxylate	4.64	3.0493	1.1674	0.7171	0.6544	0.9829	1.4833
2-hydroxybehenate	Lipid	Fatty_Acid,_Monohydroxy	2.7614	0.7646	1.1771	0.6321	0.7614	0.6776	1.0792
2-hydroxybutyrate/2-hydroxyisobutyrate	Amino_Acid	Glutathione_Metabolism	0.0769	1.3005	1.0264	0.4622	0.0825	2.0819	2.6615
2-hydroxydecanoate	Lipid	Fatty_Acid,_Monohydroxy	1.1316	0.6995	0.3982	1.1864	0.8891	1.0447	1.0503
2-hydroxyglutarate	Lipid	Fatty_Acid,_Dicarboxylate	3.7454	3.8948	2.0721	1.1443	0.8416	1.9166	1.024
2-hydroxypalmitate	Lipid	Fatty_Acid,_Monohydroxy	4.5359	0.8821	1.1011	0.7789	0.9876	0.8064	1.0274
2-hydroxystearate	Lipid	Fatty_Acid,_Monohydroxy	5.3043	1.0219	1.3038	0.5934	0.9114	0.6006	1.0643
2-isopropylmalate	Xenobiotics	Food_Component/Plant	2.7816	1.4105	1.2336	0.028	0.028	0.4354	0.1036
2-keto-3-deoxy-gluconate	Xenobiotics	Food_Component/Plant	1.1694	1.6339	1.4825	1.3768	0.9779	1.039	0.1517
2-ketogluconate	Xenobiotics	Food_Component/Plant	0.0243	1.2861	1.3022	1.2379	0.9665	1.0362	0.9139
2-linoleoylglycerol_(18:2)	Lipid	Monoacylglycerol	2.3001	0.6112	1.0127	0.8748	1.2282	0.5502	0.6833
2-methylbutyrylcarnitine_(C5)	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	0.143	0.561	1	0.9439	0.7663	0.9558	0.6204
2-methylcitrate/homocitrate	Energy	TCA_Cycle	3.2031	1.0112	1.2454	0.8649	0.9562	1.1296	0.9558
2-myristoylglycerol_(14:0)	Lipid	Monoacylglycerol	2.6119	0.4575	1.0031	0.5123	0.7351	0.2658	0.1197
2-oleoylglycerol_(18:1)	Lipid	Monoacylglycerol	1.6706	0.5516	0.9001	0.7823	1.0201	0.4883	0.5411
2-oxindole-3-acetate	Xenobiotics	Food_Component/Plant	4.9238	5.3326	1.3199	0.873	0.9593	1.204	1.0504
2-oxoarginine*	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	0.2001	0.879	1.0727	0.9982	1.1752	0.8392	0.4534
2-palmitoleoylglycerol_(16:1)*	Lipid	Monoacylglycerol	2.3653	0.711	0.9699	0.7183	0.8461	0.5012	0.4062
2-palmitoylglycerol_(16:0)	Lipid	Monoacylglycerol	1.7018	0.7309	1.0295	0.7188	0.8817	0.4322	0.5097
2-palmitoyl-GPC_(16:0)*	Lipid	Lysophospholipid	0.4476	0.2988	0.2988	0.2988	0.2988	0.2988	0.2988
2-stearoyl-GPE_(18:0)*	Lipid	Lysophospholipid	1.6399	0.9078	0.9461	0.5532	0.6216	1.0941	0.8299
3-(3-hydroxyphenyl)propionate	Xenobiotics	Benzoate_Metabolism	0.942	0.1276	0.1276	0.1276	0.1276	0.1276	0.1276
3-(3-hydroxyphenyl)propionate_sulfate	Xenobiotics	Benzoate_Metabolism	0.3125	0.1151	0.1151	0.1151	0.1151	2.1939	0.8847
3-(4-hydroxyphenyl)lactate	Amino_Acid	Tyrosine_Metabolism	0.0111	1.3707	0.3507	1.0495	1.3925	3.026	2.7956
3-(4-hydroxyphenyl)propionate	Xenobiotics	Benzoate_Metabolism	1.9735	2.887	0.9642	0.8368	0.8422	0.5782	0.3464
3-dehydrocholate	Lipid	Secondary_Bile_Acid_Metabolism	3.7494	1.7564	1.0616	0.3095	0.4465	0.1488	0.1488
3-hydroxy-3-methylglutarate	Lipid	Mevalonate_Metabolism	7.2887	23.4513	3.0542	0.7776	0.7393	1.3498	1.7271
3-hydroxybutyrate_(BHBA)	Lipid	Ketone_Bodies	4.8812	0.6408	1.4363	0.3111	0.7038	0.3111	0.8874
3-hydroxybutyrylcarnitine_(1)	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	1.7838	1.0151	1.2194	0.887	1.1886	0.7978	0.5698
3-hydroxybutyrylcarnitine_(2)	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	2.9914	0.1177	0.5275	0.1177	0.6714	0.1177	0.1177
3-hydroxydecanoate	Lipid	Fatty_Acid,_Monohydroxy	1.5564	0.2343	0.2343	0.6966	0.495	1.0064	0.9575
3-hydroxyhexanoate	Lipid	Fatty_Acid,_Monohydroxy	1.8615	0.4651	0.4651	0.4651	0.4651	0.7171	0.4651
3-hydroxyisobutyrate	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	0.4693	1.4549	1.2833	0.9353	1.1282	1.2788	0.8358
3-hydroxypalmitate	Lipid	Fatty_Acid,_Monohydroxy	2.7137	1.2781	1.4845	1.0236	0.7093	0.2186	0.2186
3-hydroxypyridine	Xenobiotics	Chemical	2.7112	1.4349	1.2358	0.9613	1.1251	0.9153	0.8374
3-hydroxysebacate	Lipid	Fatty_Acid,_Monohydroxy	2.5777	1	1.1401	0.8311	0.955	0.898	1.0018
3-ketosphinganine	Lipid	Sphingolipid_Metabolism	4.107	9.5795	11.4354	0.1169	0.1611	0.0275	0.0275
3-methyl-2-oxobutyrate	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	8.7035	1.3386	0.4162	0.3414	1.0643	1.1261	1.1827
3-methyl-2-oxovalerate	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	7.2908	1.3422	0.4734	0.2409	0.8915	1.0352	0.9983
3-methylhistidine	Amino_Acid	Histidine_Metabolism	1.8818	0.3173	0.3173	0.3173	0.3173	0.3173	0.3173
3-phenylpropionate_(hydrocinnamate)	Xenobiotics	Benzoate_Metabolism	46.7379	0.1475	0.1044	0.1866	0.1044	0.1044	0.1044
3-sialyllactose	Carbohydrate	Disaccharides_and_Oligosaccharides	0.3878	0.9472	1.1106	0.9635	1.0463	0.9532	0.7809
3-sulfo-L-alanine	Amino_Acid	Methionine,_Cysteine,_SAM_and_Taurine_Metabolism	6.2147	1.216	0.9063	0.8649	1.1721	1.3319	1.1021
3-ureidopropionate	Nucleotide	Pyrimidine_Metabolism,_Uracil_containing	1.0086	2.5678	1.3883	0.8161	0.7223	1.1853	1.3332
4-acetamidobutanoate	Amino_Acid	Polyamine_Metabolism	2.8717	1.2975	0.7083	0.1286	0.6495	0.1286	0.3885
4-cholesten-3-one	Lipid	Sterol	1.6927	0.8024	0.997	0.7253	0.5885	1.1115	0.886
4-guanidinobutanoate	Amino_Acid	Guanidino_and_Acetamido_Metabolism	0.2354	0.7498	0.9178	0.7854	0.9519	1.5274	1.3
4-hydroxybenzoate	Xenobiotics	Benzoate_Metabolism	0.7471	1.6429	1.5336	0.9069	0.74	0.6611	0.8941
4-hydroxycinnamate	Xenobiotics	Food_Component/Plant	1.1823	2.2261	2.0323	0.6497	0.7295	1.2378	1.1714
4-hydroxycinnamate_sulfate	Amino_Acid	Tyrosine_Metabolism	0.39	1.4669	2.0957	0.9498	0.998	0.7569	0.6981
4-hydroxyhippurate	Xenobiotics	Benzoate_Metabolism	0.1142	1.2404	1.0723	1.3973	0.8274	1.2126	1.0622
4-hydroxymandelate	Xenobiotics	Benzoate_Metabolism	1.3799	1.5769	1.2167	0.5316	0.503	0.4722	0.6676
4-hydroxyphenylpyruvate	Amino_Acid	Tyrosine_Metabolism	8.3371	1.7348	0.8564	0.4702	1.0195	1.165	0.8639
4-imidazoleacetate	Amino_Acid	Histidine_Metabolism	1.2729	2.1552	0.8783	0.9639	0.9918	1.1348	0.4864
4-methyl-2-oxopentanoate	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	6.627	1.0401	0.566	0.3792	0.8478	1.3696	0.7653
5,6-dihydrouracil	Nucleotide	Pyrimidine_Metabolism,_Uracil_containing	0.1822	0.8576	0.8779	0.1822	0.1822	0.8774	1.1438
5-aminolevulinate	Cofactors_and_Vitamins	Hemoglobin_and_Porphyrin_Metabolism	2.76	1.0934	0.9479	0.9439	0.6944	1.1635	0.9223
5-aminovalerate	Amino_Acid	Lysine_Metabolism	1.09	3.4925	0.0466	3.0081	0.0284	2.9824	0.0671
5-dodecenoate_(12:1n7)	Lipid	Medium_Chain_Fatty_Acid	3.2967	0.7795	0.7005	1.3258	0.7671	1.5183	1.3818
5-hydroxylysine	Amino_Acid	Lysine_Metabolism	2.7615	2.917	2.7538	0.3641	0.4289	1.1074	1.2616
5-methyl-2'-deoxycytidine	Nucleotide	Pyrimidine_Metabolism,_Cytidine_containing	1.0793	1.0193	0.6493	1.3312	0.9221	0.7025	0.5887
5-methylcytosine	Nucleotide	Pyrimidine_Metabolism,_Cytidine_containing	0.5577	1.4584	0.7865	6.7757	7.5715	1.3661	1.5583
5-methylthioadenosine_(MTA)	Amino_Acid	Polyamine_Metabolism	0.4057	1.872	1.327	0.7107	0.7092	0.6739	1.2807
5-methyluridine_(ribothymidine)	Nucleotide	Pyrimidine_Metabolism,_Uracil_containing	5.6307	0.1314	0.1314	0.1314	0.1314	0.1314	0.1314
5-oxoproline	Amino_Acid	Glutathione_Metabolism	0.8218	1.4141	3.1709	0.5078	1.142	0.738	1.124
6-beta-hydroxylithocholate	Lipid	Secondary_Bile_Acid_Metabolism	37.7171	0.9245	0.5918	0.1965	0.1965	0.1965	0.1965
6-oxolithocholate	Lipid	Secondary_Bile_Acid_Metabolism	1.384	0.0039	0.0039	0.0039	0.0039	0.0039	0.0039
6-oxopiperidine-2-carboxylate	Amino_Acid	Lysine_Metabolism	2.5673	0.9156	0.9136	0.7182	0.9109	0.7904	1.1356
6'-sialyllactose	Carbohydrate	Disaccharides_and_Oligosaccharides	0.2886	0.8505	1.1104	0.8418	1.0766	0.896	0.8608
7-alpha-hydroxy-3-oxo-4-cholestenoate_(7-Hoca)	Lipid	Sterol	0.2569	0.8306	1.0942	0.7771	0.9093	0.8407	0.3969
7-ketodeoxycholate	Lipid	Secondary_Bile_Acid_Metabolism	18.9134	5.557	3.7263	0.1644	0.188	0.205	0.0633
7-ketolithocholate	Lipid	Secondary_Bile_Acid_Metabolism	1	0.6296	0.6296	0.6296	0.6296	0.6296	0.6296
