Compound_code	Metabolite_name	Indegree	Outdegree
C04376	5'-Phosphoribosyl-N-formylglycinamide	0	3
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	7	8
C03089	5-Methylthio-D-ribose	1	1
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	1	8
C01380	Ethylene_glycol	0	2
C01419	Cys-Gly	0	2
C01412	Butanal	0	1
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	0	4
C08325	Amygdalin	0	2
C03402	L-Asparaginyl-tRNA(Asn)	0	1
C03406	N-(L-Arginino)succinate	5	5
C05512	Deoxyinosine	2	0
C04181	3-Hydroxy-3-methyl-2-oxobutanoic_acid	7	1
C05519	L-Allothreonine	1	1
C00288	HCO3-	1	0
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	3	1
C00084	Acetaldehyde	4	6
C00695	Cholic_acid	4	0
C00269	CDP-diacylglycerol	0	2
C00506	L-Cysteate	0	1
C00504	Folate	4	8
C00263	L-Homoserine	3	16
C00262	Hypoxanthine	1	0
C00267	alpha-D-Glucose	13	16
C00266	Glycolaldehyde	2	0
C00469	Ethanol	0	4
C00460	dUTP	0	4
C00463	Indole	8	6
C00286	dGTP	4	14
C00283	Hydrogen_sulfide	0	1
C01962	Thiocysteine	1	0
C05688	L-Selenocysteine	0	2
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate	4	4
C04051	5-Amino-4-imidazolecarboxyamide	1	0
C05947	L-erythro-4-Hydroxyglutamate	1	1
C05946	D-4-Hydroxy-2-oxoglutarate	1	1
C01209	Malonyl-[acyl-carrier_protein]	0	16
C00217	D-Glutamate	0	1
C00212	Adenosine	0	4
C16688	Sucrose_6-phosphate	0	1
C01250	N-Acetyl-L-glutamate_5-semialdehyde	1	4
C00036	Oxaloacetate	14	11
C00037	Glycine	10	3
C00035	GDP	2	5
C00031	D-Glucose	3	4
C00137	myo-Inositol	1	0
C00136	Butanoyl-CoA	1	0
C00133	D-Alanine	2	3
C00131	dATP	8	8
C00039	DNA	42	6
C00043	UDP-N-acetyl-alpha-D-glucosamine	3	3
C00042	Succinate	4	23
C00041	L-Alanine	0	3
C00040	Acyl-CoA	0	2
C00047	L-Lysine	4	2
C00046	RNA	21	7
C00044	GTP	4	8
C00049	L-Aspartate	3	11
C04236	(2S)-2-Isopropyl-3-oxosuccinate	4	0
C01101	L-Ribulose_5-phosphate	0	4
C01100	L-Histidinol_phosphate	2	2
C01103	Orotidine_5'-phosphate	1	1
C01102	O-Phospho-L-homoserine	1	3
C05125	2-(alpha-Hydroxyethyl)thiamine_diphosphate	10	2
C00101	Tetrahydrofolate	11	6
C05122	Taurocholate	0	2
C03688	Apo-[acyl-carrier-protein]	0	1
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	1	8
C06006	(S)-2-Aceto-2-hydroxybutanoate	10	4
C00957	Mercaptopyruvate	1	2
C04302	N-(5-Phospho-D-ribosyl)anthranilate	2	6
C05345	beta-D-Fructose_6-phosphate	23	2
C06032	D-erythro-3-Methylmalate	9	6
C03451	(R)-S-Lactoylglutathione	0	1
C00606	3-Sulfino-L-alanine	1	1
C00387	Guanosine	0	1
C05466	Glycochenodeoxycholate	0	1
C05465	Taurochenodeoxycholate	0	1
C04501	N-Acetyl-alpha-D-glucosamine_1-phosphate	2	3
C03912	(S)-1-Pyrroline-5-carboxylate	4	4
C11907	4,6-Dideoxy-4-oxo-dTDP-D-glucose	5	4
C00252	Isomaltose	0	1
C00253	Nicotinate	1	1
C00250	Pyridoxal	0	2
C00251	Chorismate	1	12
C00254	Prephenate	4	5
C00255	Riboflavin	0	2
C05336	Selenomethionyl-tRNA(Met)	1	0
C00258	D-Glycerate	1	4
C00259	L-Arabinose	2	0
C01083	alpha,alpha-Trehalose	5	0
C00490	Itaconate	0	2
C00491	L-Cystine	0	1
C00492	Raffinose	1	2
C00493	Shikimate	3	5
C00886	L-Alanyl-tRNA	1	0
C00882	Dephospho-CoA	2	2
C00078	L-Tryptophan	16	1
C00079	L-Phenylalanine	8	6
C00073	L-Methionine	2	5
C00071	Aldehyde	1	0
C02282	Glutaminyl-tRNA	0	2
C00074	Phosphoenolpyruvate	6	17
C00075	UTP	1	11
C00130	IMP	3	6
C00085	D-Fructose_6-phosphate	1	4
C02352	1,4-beta-D-Xylan	0	3
C00082	L-Tyrosine	4	15
C00081	ITP	0	1
C04640	2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine	3	3
C05762	3-Oxohexadecanoyl-[acp]	4	2
C00089	Sucrose	1	6
C04646	6-Thioinosine-5'-monophosphate	0	1
C02218	Dehydroalanine	1	0
C00671	(S)-3-Methyl-2-oxopentanoic_acid	5	0
C01921	Glycocholate	0	2
C00673	2-Deoxy-D-ribose_5-phosphate	1	0
C02226	2-Methylmaleate	12	8
C00106	Uracil	1	1
C00105	UMP	4	2
C00103	D-Glucose_1-phosphate	7	9
C00100	Propanoyl-CoA	2	1
C05838	cis-2-Hydroxycinnamate	4	0
C00108	Anthranilate	10	2
C00109	2-Oxobutanoate	12	12
C04702	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	2	2
C05764	Hexadecanoyl-[acp]	3	6
C05761	Tetradecanoyl-[acp]	3	3
C05760	trans-Tetradec-2-enoyl-[acp]	3	3
C05763	trans-Hexadec-2-enoyl-[acp]	3	3
C03175	Shikimate_3-phosphate	4	4
C00361	dGDP	4	2
C05807	2-Polyprenylphenol	0	3
C03090	5-Phosphoribosylamine	2	5
C01077	O-Acetyl-L-homoserine	0	4
C02972	Dihydrolipoylprotein	0	1
C11434	2-C-Methyl-D-erythritol_4-phosphate	1	2
C11435	4-(Cytidine_5'-diphospho)-2-C-methyl-D-erythritol	2	1
C11436	2-Phospho-4-(cytidine_5'-diphospho)-2-C-methyl-D-erythritol	1	2
C00857	Deamino-NAD+	0	3
C02412	Glycyl-tRNA(Gly)	1	0
C01179	3-(4-Hydroxyphenyl)pyruvate	18	5
C04411	(2R,3S)-3-Isopropylmalate	6	10
C01172	beta-D-Glucose_6-phosphate	12	8
C18796	(2R)-2-Hydroxy-2-methylbutanenitrile	2	0
C08334	Lotaustralin	0	2
C03892	Phosphatidylglycerophosphate	2	0
C00681	1-Acyl-sn-glycerol_3-phosphate	1	2
C00680	meso-2,6-Diaminoheptanedioate	1	5
C04556	4-Amino-2-methyl-5-phosphomethylpyrimidine	2	2
C00688	dTDP-4-dehydro-6-deoxy-beta-L-mannose	4	0
C05378	beta-D-Fructose_1,6-bisphosphate	0	8
C00448	trans,trans-Farnesyl_diphosphate	2	6
C02554	L-Valyl-tRNA(Val)	1	0
C16220	3-Hydroxyoctadecanoyl-[acp]	3	3
C00921	Dihydropteroate	0	2
C04294	5-(2-Hydroxyethyl)-4-methylthiazole	1	2
C00458	dCTP	2	12
C00459	dTTP	0	12
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	4	0
C00455	Nicotinamide_D-ribonucleotide	1	0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	0	4
C15972	Enzyme_N6-(lipoyl)lysine	4	0
C00330	Deoxyguanosine	1	0
C00337	(S)-Dihydroorotate	1	1
C00197	3-Phospho-D-glycerate	19	15
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	3	3
C00631	2-Phospho-D-glycerate	2	14
C02528	Chenodeoxycholate	2	0
C01594	Linamarin	0	2
C00208	Maltose	1	3
C00206	dADP	7	1
C00025	L-Glutamate	10	15
C00024	Acetyl-CoA	13	14
C00148	L-Proline	4	5
C00026	2-Oxoglutarate	4	8
C00021	S-Adenosyl-L-homocysteine	0	3
C00020	AMP	2	3
C00022	Pyruvate	26	36
C00143	5,10-Methylenetetrahydrofolate	0	1
C00141	3-Methyl-2-oxobutanoic_acid	8	3
C00029	UDP-glucose	6	13
C00147	Adenine	3	1
C00144	GMP	7	0
C01079	Protoporphyrinogen_IX	3	0
C05729	R-S-Cysteinylglycine	0	1
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	2	7
C03232	3-Phosphonooxypyruvate	10	2
C02739	1-(5-Phospho-D-ribosyl)-ATP	0	4
C00647	Pyridoxamine_phosphate	1	1
C05726	S-Substituted_L-cysteine	1	0
C00700	XTP	0	1
C00705	dCDP	4	0
C06250	Holo-[carboxylase]	2	1
C06251	Lauroyl-KDO2-lipid_IV(A)	1	1
C02631	2-Isopropylmaleate	10	2
C02637	3-Dehydroshikimate	2	2
C04419	Carboxybiotin-carboxyl-carrier_protein	1	0
C01528	Hydrogen_selenide	1	0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	2	0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	3	0
C01134	Pantetheine_4'-phosphate	0	2
C00760	Cellulose	0	4
C06037	Digalactosyl-diacylglycerol	0	1
C03512	L-Tryptophanyl-tRNA(Trp)	1	0
C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate	3	1
C02741	Phosphoribosyl-AMP	4	4
C03127	L-Isoleucyl-tRNA(Ile)	1	0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	1	0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	0	1
C04257	N-Acetyl-D-mannosamine_6-phosphate	0	1
C00966	2-Dehydropantoate	2	1
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	0	8
C00415	Dihydrofolate	9	6
C00416	Phosphatidate	2	1
C00417	cis-Aconitate	8	6
C01005	O-Phospho-L-serine	2	10
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	2	0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	1	2
C03862	Dolichyl_phosphate_D-mannose	1	1
C01798	D-Glucoside	0	2
C04006	1D-myo-Inositol_3-phosphate	4	0
C11355	4-Amino-4-deoxychorismate	1	0
C02686	Galactosylceramide	1	0
C05576	3,4-Dihydroxyphenylethyleneglycol	1	1
C05577	3,4-Dihydroxymandelaldehyde	1	1
C00243	Lactose	0	2
C00242	Guanine	1	2
C00245	Taurine	2	0
C00249	Hexadecanoic_acid	3	3
C00559	Deoxyadenosine	0	2
C00561	Mandelonitrile	4	0
C01094	D-Fructose_1-phosphate	0	2
C00341	Geranyl_diphosphate	3	3
C00342	Thioredoxin	3	7
C00343	Thioredoxin_disulfide	6	2
C00345	6-Phospho-D-gluconate	0	5
C05684	Selenite	0	1
C00061	FMN	3	1
C00063	CTP	4	8
C00062	L-Arginine	4	0
C00065	L-Serine	8	18
C00064	L-Glutamine	2	10
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	0	10
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	2	4
C05921	Biotinyl-5'-AMP	2	2
C00669	gamma-L-Glutamyl-L-cysteine	2	0
C00668	alpha-D-Glucose_6-phosphate	15	14
C00666	LL-2,6-Diaminoheptanedioate	4	0
C00988	2-Phosphoglycolate	0	3
C00117	D-Ribose_5-phosphate	3	13
C00116	Glycerol	1	0
C00111	Glycerone_phosphate	20	4
C00110	Dolichyl_phosphate	1	1
C00112	CDP	1	4
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	10	3
C00118	D-Glyceraldehyde_3-phosphate	14	17
C01346	dUDP	3	1
C05750	3-Oxooctanoyl-[acp]	4	2
C05751	trans-Oct-2-enoyl-[acp]	3	3
C05752	Octanoyl-[acp]	3	3
C05753	3-Oxodecanoyl-[acp]	4	2
C05754	trans-Dec-2-enoyl-[acp]	3	3
C05755	Decanoyl-[acp]	3	3
C05756	3-Oxododecanoyl-[acp]	3	3
C20237	alpha-Maltose_1-phosphate	0	1
C05758	trans-Dodec-2-enoyl-[acp]	3	3
C05759	3-Oxotetradecanoyl-[acp]	3	3
C05811	2-Octaprenyl-6-hydroxyphenol	2	0
C05810	2-Octaprenylphenol	0	2
C01613	Stachyose	0	2
C00188	L-Threonine	4	10
C02702	L-Prolyl-tRNA(Pro)	1	0
C00185	Cellobiose	0	4
C00183	L-Valine	0	1
C03794	N6-(1,2-Dicarboxyethyl)-AMP	2	1
C00181	D-Xylose	3	2
C00010	CoA	2	1
C02839	L-Tyrosyl-tRNA(Tyr)	1	0
C16348	cis-3-Chloroallyl_aldehyde	2	1
C00327	L-Citrulline	0	4
C00842	dTDP-glucose	4	5
C00844	Prunasin	2	4
C02291	L-Cystathionine	9	5
C05823	3-Mercaptolactate	1	0
C11437	1-Deoxy-D-xylulose_5-phosphate	3	1
C16237	Protein_N6-(lipoyl)lysine	2	0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	0	2
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	2	0
C16238	Lipoyl-AMP	2	2
C00447	Sedoheptulose_1,7-bisphosphate	3	1
C00446	alpha-D-Galactose_1-phosphate	3	5
C00445	5,10-Methenyltetrahydrofolate	2	0
C01762	Xanthosine	0	1
C00441	L-Aspartate_4-semialdehyde	12	7
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate	2	2
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	2	1
C00522	(R)-Pantoate	1	2
C00169	Carbamoyl_phosphate	3	0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	2	1
C16221	(2E)-Octadecenoyl-[acp]	3	3
C01190	beta-D-Glucosyl-(1<->1)-ceramide	3	1
C00009	Orthophosphate	1	0
C00186	(S)-Lactate	1	4
C00068	Thiamin_diphosphate	3	11
C04133	N-Acetyl-L-glutamate_5-phosphate	5	0
C03838	5'-Phosphoribosylglycinamide	3	0
C05400	Epimelibiose	0	1
C05401	3-beta-D-Galactosyl-sn-glycerol	0	1
C05402	Melibiose	2	1
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	1	1
C03939	Acetyl-[acyl-carrier_protein]	2	4
C04039	2,3-Dihydroxy-3-methylbutanoate	1	1
C00627	Pyridoxine_phosphate	2	0
C05335	L-Selenomethionine	0	1
C00624	N-Acetyl-L-glutamate	0	5
C01228	Guanosine_3',5'-bis(diphosphate)	1	0
C00231	D-Xylulose_5-phosphate	12	2
C01345	dITP	0	1
C00233	4-Methyl-2-oxopentanoate	2	0
C00234	10-Formyltetrahydrofolate	1	3
C00235	Dimethylallyl_diphosphate	5	2
C00236	3-Phospho-D-glyceroyl_phosphate	6	1
C00159	D-Mannose	1	0
C05984	2-Hydroxybutanoic_acid	0	1
C00014	Ammonia	5	0
C00015	UDP	1	2
C00016	FAD	1	1
C00018	Pyridoxal_phosphate	2	0
C00019	S-Adenosyl-L-methionine	3	1
C00153	Nicotinamide	2	1
C00155	L-Homocysteine	9	2
C00154	Palmitoyl-CoA	3	0
C05399	Melibiitol	0	1
C00424	(S)-Lactaldehyde	1	0
C02336	beta-D-Fructose	5	2
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	2	4
C01530	Octadecanoic_acid	1	0
C00655	Xanthosine_5'-phosphate	4	4
C00301	ADP-ribose	0	1
C00718	Amylose	5	2
C05757	(R)-3-Hydroxydodecanoyl-[acp]	3	3
C02909	(2-Naphthyl)methanol	0	3
C17551	2-Polyprenyl-6-hydroxyphenol	3	0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	1	2
C03506	Indoleglycerol_phosphate	0	16
C06025	Di[3-deoxy-D-manno-octulosonyl]-lipid_IV(A)	1	1
C05143	Dhurrin	0	2
C18902	Methylselenic_acid	0	1
C03294	N-Formylmethionyl-tRNA	1	0
C02051	Lipoylprotein	1	0
C06611	trans-3-Chloro-2-propene-1-ol	1	2
C06612	cis-3-Chloro-2-propene-1-ol	1	2
C06613	trans-3-Chloroallyl_aldehyde	2	1
C00979	O-Acetyl-L-serine	0	1
C04246	But-2-enoyl-[acyl-carrier_protein]	3	3
C03373	Aminoimidazole_ribotide	3	3
C01157	Hydroxyproline	2	2
C00407	L-Isoleucine	0	1
C06056	4-Hydroxy-L-threonine	1	0
C06054	2-Oxo-3-hydroxy-4-phosphobutanoate	1	1
C06055	O-Phospho-4-hydroxy-L-threonine	1	2
C03479	Folinic_acid	0	2
C06113	L-Aspartyl-tRNA(Asn)	1	0
C06112	L-Glutamyl-tRNA(Gln)	2	0
C09332	Tetrahydrofolyl-[Glu](2)	1	0
C00583	Propane-1,2-diol	0	1
C14089	1-Hydroxymethylnaphthalene	0	3
C03972	2,3,4,5-Tetrahydrodipicolinate	9	5
C00577	D-Glyceraldehyde	1	0
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate	4	0
C00279	D-Erythrose_4-phosphate	9	7
C00275	D-Mannose_6-phosphate	0	4
C02474	Arabinan	0	2
C00900	2-Acetolactate	4	1
C00294	Inosine	2	1
C00295	Orotate	2	2
C05699	L-Selenocystathionine	2	1
C05698	Selenohomocysteine	1	0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	5	3
C00353	Geranylgeranyl_diphosphate	3	0
C00352	D-Glucosamine_6-phosphate	5	3
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	9	3
C00158	Citrate	9	10
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	3	1
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	0	2
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	1	0
C00357	N-Acetyl-D-glucosamine_6-phosphate	2	1
C00993	D-Alanyl-D-alanine	3	2
C05382	Sedoheptulose_7-phosphate	0	6
C00120	Biotin	0	2
C00121	D-Ribose	0	1
C00122	Fumarate	15	0
C00123	L-Leucine	0	1
C00124	D-Galactose	12	3
C00129	Isopentenyl_diphosphate	8	7
C05749	Hexanoyl-[acp]	3	3
C05748	trans-Hex-2-enoyl-[acp]	3	3
C05747	(R)-3-Hydroxyhexanoyl-[acp]	3	3
C05746	3-Oxohexanoyl-[acp]	3	3
C05745	Butyryl-[acp]	3	3
C05744	Acetoacetyl-[acp]	5	1
C03150	Nicotinamide-beta-riboside	0	1
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	1	5
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	2	4
C00054	Adenosine_3',5'-bisphosphate	1	0
C00725	Lipoate	0	2
C00199	D-Ribulose_5-phosphate	14	6
C00052	UDP-alpha-D-galactose	7	1
C00721	Dextrin	5	1
C00195	N-Acylsphingosine	1	1
C02659	Acetone_cyanohydrin	2	0
C02876	Propanoyl_phosphate	1	1
C00058	Formate	0	1
C00354	D-Fructose_1,6-bisphosphate	2	4
C00011	CO2	1	4
C00170	5'-Methylthioadenosine	1	1
C01118	O-Succinyl-L-homoserine	5	9
C01050	UDP-N-acetylmuramate	7	2
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	2	1
C01212	UDP-N-acetylmuramoyl-L-alanine	2	4
C06156	alpha-D-Glucosamine_1-phosphate	2	2
C03028	Thiamin_triphosphate	2	0
C03539	S-Ribosyl-L-homocysteine	3	0
C06010	(S)-2-Acetolactate	8	8
