contig_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
k127_1481593,4.22832494e+00,-2.24578147e+00,1.43294282e+00,-8.15706797e-01,-5.95121140e-01,-4.36062956e-01,1.11068216e+00,-8.98626895e-01,-6.41476986e-01,-3.27261476e-01,1.07703002e-01,-4.36735652e-01,-6.52251316e-01,-7.20959651e-01,8.08644380e-01,-1.19968594e+00,9.95156571e-01,-1.25170211e+00,-2.96961834e-01,4.34073452e-01,2.67233011e-01,-2.31267745e-01,-1.40593281e-01,-6.16661324e-01,-1.20926779e-01,-1.29743680e-01,-1.88000201e-01,-8.55126895e-01,8.37444198e-02,-3.09621073e-01,-7.72300239e-01,1.56175054e-01,-1.67358210e-01,-4.35810645e-01,-3.92781960e-01
k127_6272,-1.64409758e+00,-1.59749309e+00,5.72408237e-01,-3.20380160e-01,-7.83333439e-01,-1.53781169e+00,-1.10736920e+00,-5.73860869e-01,-1.26922999e-01,-1.80820591e-01,1.07416784e+00,-8.98395421e-01,7.87041238e-01,-4.35234922e-01,-2.88113732e-01,-3.16998051e-01,-7.68593660e-01,-4.55914693e-02,2.63791950e-01,-8.93862185e-02,-7.43794309e-01,4.91215010e-02,-3.16814983e-01,-6.15443759e-02,-3.95821696e-01,2.04515318e-01,-4.69014588e-01,-8.22722810e-03,6.42530895e-01,3.85503685e-01,-4.20942712e-02,-2.74757331e-01,1.21427670e-01,1.98838663e-01,-1.27273667e-01
k127_1750922,8.64905569e+00,2.78368351e+00,-2.25724055e+00,6.07679545e-01,9.37989199e-01,5.55617551e-01,-1.92121962e+00,1.13265889e+00,7.99870071e-01,3.18110353e-01,7.74213670e-01,1.79210719e-01,-8.78120881e-01,5.60343922e-01,2.57212281e-01,-5.28101987e-01,-2.15737733e-01,5.82140066e-01,-3.69442142e-01,-7.49390578e-01,1.14151172e+00,-6.33079320e-01,-1.06324829e-01,2.12933447e-01,4.60584843e-01,1.30303051e-01,-1.59927888e-01,-4.33419566e-01,-5.12301727e-01,-4.72436923e-01,-6.18194284e-01,4.72100562e-01,-1.64323213e-01,1.89107873e-02,-1.50036914e-02
k127_2514716,4.98920714e+00,-2.59890579e+00,1.82667838e+00,9.28801851e-01,1.30822614e+00,1.64350912e+00,-3.58134239e-01,-1.18438368e+00,2.35410738e-01,2.01355588e-01,2.89137713e-01,1.17743971e-01,1.46158670e+00,3.69157836e-01,-3.40786659e-01,-3.43509051e-01,-1.40667685e-01,5.74935621e-01,-4.37106890e-01,1.28738019e-01,2.19275756e-01,-1.80978294e-01,2.77991911e-01,-6.23590825e-01,1.82903130e-01,3.87297350e-03,-1.05055185e+00,-9.23223668e-01,7.23509253e-01,-6.08275116e-01,3.97601422e-01,2.87396585e-01,-2.58169732e-01,4.32148354e-01,1.78639491e-01
k127_2463547,8.74848429e+00,2.61611849e+00,2.01550264e-01,-1.16868358e+00,-1.27432127e+00,-2.46864995e+00,1.11768339e+00,-1.38319321e-01,6.19474512e-01,3.16274075e-01,-8.57740728e-01,-2.07764536e-01,-4.62530822e-01,2.70886122e-01,4.07466270e-01,3.74240478e-01,3.58026079e-02,3.28400311e-01,5.31695542e-01,-4.94823811e-02,-4.69800942e-01,7.69153805e-02,4.16994651e-01,-1.96858288e-01,-3.09127553e-01,-8.30564815e-03,-3.88009365e-01,3.92377801e-01,3.41922539e-02,9.03230607e-02,-1.75005671e-01,-5.73793197e-01,-1.93240792e-01,-1.08958418e-02,-4.33316991e-02
k127_1120941,3.73206018e+00,7.88727299e-01,-1.40706890e+00,7.20161914e-01,-7.62481641e-01,-7.97698946e-01,-2.70244390e-01,7.87618468e-01,8.46767339e-01,-1.62935980e-01,-5.23851223e-01,-1.64802163e-01,4.32104309e-01,-1.37330421e-01,2.17255209e-01,1.30351186e-01,1.46690244e-01,7.95052582e-02,-4.12131900e-01,-1.15662468e-01,2.05432667e-01,1.08794669e-02,-3.40095231e-01,1.11350331e-01,1.95793988e-01,-5.94253343e-02,2.08559948e-01,1.87063298e-01,4.90842451e-02,4.83121419e-02,4.52205742e-02,-2.21389908e-02,2.87852063e-02,-2.09077193e-01,-2.03412364e-01
k127_270996,-1.88702604e+00,-2.54090491e+00,-2.85913052e+00,-4.01339854e-02,-9.50599746e-01,2.90200340e-01,8.12272444e-01,-2.57048165e-01,4.76662138e-01,9.62615755e-01,4.42599290e-01,-9.06023367e-01,3.12194626e-02,-5.11185828e-01,6.41826156e-02,2.20350755e-01,2.32367144e-01,-3.43995357e-01,-2.08670634e-01,-1.34701478e-01,1.74633098e-01,4.55336297e-01,-3.31112920e-01,3.66685408e-01,2.28622439e-01,4.80270503e-01,1.20464886e-02,8.08125891e-02,1.19286496e-01,2.01145237e-01,2.84839441e-01,-1.65735627e-01,2.34544786e-02,-1.24508598e-02,2.24048738e-02
k127_4116371,-5.28525830e+00,7.35608981e-01,-1.69713017e+00,2.82160997e+00,1.38264820e+00,2.16930081e-01,-8.77487185e-01,-7.93665857e-01,-1.28736915e+00,1.83972026e-01,-7.05271709e-01,-2.67908214e-01,-4.81306218e-01,-1.66734578e-01,1.41252863e-01,-8.60526463e-01,1.07005684e-01,2.33523788e-01,-2.70847067e-01,-3.59040557e-01,2.64200804e-01,4.62553748e-01,-4.61284736e-01,-1.36390778e+00,-3.76564348e-01,-4.01981853e-01,8.29569144e-01,-1.37895740e+00,-2.70512456e-01,7.47487925e-01,1.55675120e-01,-3.65379124e-01,-2.10447391e-01,2.16665166e-01,3.96027028e-01
k127_4257183,1.85493049e+00,-2.11115349e+00,9.57701501e-01,2.70285080e-02,-1.76944809e-01,5.02010484e-02,-1.10826497e+00,-2.08165307e-01,-4.36113765e-01,-6.56700981e-01,-4.45932845e-01,-1.68363489e-03,-7.65049730e-01,8.67401407e-01,-6.36264588e-01,4.82004147e-01,2.77796284e-01,5.72863591e-01,-6.43211208e-01,1.02684309e-01,-2.40136365e-01,-5.38657051e-02,-1.48526018e-01,-3.30186012e-01,-7.93359191e-02,6.81455704e-01,-5.92310208e-01,-1.90125709e-02,-5.64956937e-02,-7.97427050e-02,-1.29747670e-01,-3.99140921e-01,5.35059189e-01,-3.40928220e-01,-5.09897374e-01
k127_4447075,1.02790143e+01,3.45252015e+00,-1.56595807e+00,4.49421133e-01,1.91202936e+00,1.23247117e+00,-4.49201160e-01,3.62158192e-01,-2.78242575e-01,9.12623124e-01,-5.41857703e-02,2.24816295e-02,-1.42907119e-01,-4.03380922e-01,8.44440949e-01,-4.48982674e-01,2.14431264e-01,-1.31429975e-01,4.99204319e-03,3.36511680e-01,4.52019964e-01,3.03048160e-01,-1.23068415e+00,-4.26767920e-01,1.61399771e-01,3.15833626e-01,-3.09351317e-01,-8.42424745e-01,4.82303969e-01,-3.05911468e-01,8.55223024e-01,2.79884433e-01,-7.71469017e-01,1.97668213e-01,7.26923753e-02
