KO_code	Compound_codes
K00014	C02637,C00493,C02637,C00493
K03800	C16238,C16238,C16237,C16237
K03624	
K03151	C15814,C15813
K01887	C02163
K03091	
K03628	
K03629	
SrtB_family	
K02003	
K09145	
K06295	
K06297	
K15770	
K04094	
K04096	
K01308	
K03657	
G_subunit	
K00973	C00842,C00842,C00842,C00842
K01119	C01367,C01368,C05822,C06193
K00975	C00498,C00498,C00103,C00498
K11749	
K02653	
K04477	
K07271	
K13922	C00100
K00872	C01102,C00263,C01102,C01102
K00876	C00055,C00475,C00055,C00475,C00055,C00475,C00055,C00475,C00105,C00299,C00105,C00299,C00105,C00299,C00105,C00299,C00055,C00475,C00105,C00299,C00105,C00299,C00055,C00475,C00055,C00475,C00105,C00299,C00105,C00299,C00105,C00299,C00055,C00475,C00055,C00475,C16634
K00874	C04442,C00204,C04442,C04442
K04487	C15812
K04486	C00860,C00860,C00860,C00860
K04485	
K06207	
K06206	
K02950	
K06209	C00254,C00251,C00254,C00254
K02959	
K00882	C05378
K17320	
K01571	C00022,C00022,C00048,C00022,C05946
K01572	C00022,C00022,C00048,C00022,C05946
K01754	C00022,C00065,C00022,C00022,C00014,C00022,C00109,C00109,C00109,C00109,C00109
K01755	C00122,C00062,C00122,C00062,C00122,C00122,C00062,C00062
K01752	C00022,C00065,C00022,C00022,C00014,C00022,C02218
K07979	
K02004	
K06973	
K01759	C00546
K01693	C01267,C04666,C01267,C01267
K00611	C00327,C00327,C00327,C00327
K06871	
K01591	C00105,C00105
K07088	
K10907	
K07478	
K08600	
K10866	
K08602	
K11189	
K11184	
K09815	
K06374	
K06373	
K09812	
K05515	
K02500	C04666,C04677,C04666,C04666,C04666
K02501	C04666,C04677,C04666,C04666,C04666
K02502	C00119,C02739,C00119,C02739
K01810	C01172,C01172,C01172,C01172,C01172,C05345,C05345,C05345,C05345,C00668,C05345,C05345,C05345,C05345,C01172,C05345,C05345
regulator_of_sigma_subunit	
K01938	C00234,C00234,C00234,C00058,C00234,C00234
K01939	C03794,C03794,C00130
K01626	C04691,C04691,C04691,C04691
K00058	C03232,C03232,C03232,C03232,C03232,C03232
K00059	C05744,C05744,C04618,C04619,C05753,C04619,C04620,C05750,C04620,C04633,C05762,C04633,C04688,C04688,C04688,C05747,C05747,C05747,C05757,C05757,C05757,C16217,C16217,C16220,C16220,C16220,C20373,C20373,C20377,C20377
K00057	C00111,C00111
K03686	
K00688	C00718,C00103,C00103,C00718,C00103,C00718
K03530	
K03438	
K05350	C00221,C00221,C00561,C00561,C00221,C00221,C00844,C00267,C05838,C05838,C03742,C18796,C02659
K00931	C03287,C03287,C03287
K02433	C06112,C06112,C06113
K03924	
