org_code	domain	group	genus	species
ese	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O150:H5_SE15_(commensal)
eso	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O104:H4_2009EL-2071
esm	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O104:H4_2009EL-2050
esl	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_O104:H4_2011C-3493
ecl	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_C_ATCC_8739
ebr	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_B_REL606
ebd	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_BL21-Gold(DE3)pLysS_AG
eko	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_KO11FL
ekf	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_KO11FL
eab	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_ABU_83972
edh	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_DH1
edj	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_DH1
eih	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_IHE3034
ena	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_NA114
elu	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_UM146
eun	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_UMNK88
elw	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_W
ell	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_W
elc	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_clone_D_i14
eld	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_clone_D_i2
elp	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_P12b
ebl	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_BL21(DE3)
ebe	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_BL21(DE3)
elf	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_LF82
ecoa	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_APEC_O78
ecol	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_LY180
ecoi	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_PMV-1
ecoj	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_coli_JJ1886
efe	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_fergusonii
ebt	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Escherichia_blattae_DSM_4481
sty	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhi_CT18
stt	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty2
sex	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhi_P-stx-12
sent	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhi_Ty21a
stm	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_LT2
seo	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_14028S
sev	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_D23580
sey	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_SL1344
sem	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_T000240
sej	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_UK-1
seb	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_ST4/74
sef	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_798
setu	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_U288
setc	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_var._5-_CFSAN001921
seen	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_08-1736
senr	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_DT2
send	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_DT104
spt	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_ATCC9150
sek	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_AKU12601
spq	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_B
sei	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_C
sec	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Choleraesuis
seh	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Heidelberg_SL476
shb	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Heidelberg_B182
senh	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_Serovar_Heidelberg_CFSAN002069
seeh	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Heidelberg_41578
see	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Newport_SL254
senn	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Newport_USMARC-S3124.1
sew	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Schwarzengrund
sea	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Agona
sed	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Dublin
seg	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Gallinarum_287/91
sel	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum_RKS5078
sega	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum_CDC1983-67
set	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Enteritidis
senj	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Javiana
seec	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_Serovar_Cubana
seeb	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Bareilly
seep	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Pullorum
senb	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Bovismorbificans
sene	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._enterica_serovar_Thompson
ses	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_enterica_subsp._arizonae
sbg	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_bongori_NCTC_12419
sbz	Bacteria	Gammaproteobacteria_-_Enterobacteria	Escherichia	Salmonella_bongori_N268-08
ype	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pestis_CO92_(biovar_Orientalis)
ypk	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pestis_KIM_10_(biovar_Mediaevalis)
ypa	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pestis_Antiqua_(biovar_Antiqua)
ypn	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pestis_Nepal516_(biovar_Antiqua)
ypm	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pestis_91001_(biovar_Microtus)
ypp	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pestis_Pestoides_F
ypg	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pestis_Angola
ypz	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pestis_Z176003
ypt	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pestis_A1122
ypd	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pestis_D106004
ypx	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pestis_D182038
yph	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pestis_biovar_Medievalis_Harbin_35
yps	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pseudotuberculosis_IP32953_(serotype_I)
ypi	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pseudotuberculosis_IP31758_(serotype_O:1b)
ypy	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pseudotuberculosis_YPIII
ypb	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_pseudotuberculosis_PB1/+
yen	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_enterocolitica_subsp._enterocolitica_8081
yep	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_enterocolitica_subsp._palearctica_105.5R(r)
yey	Bacteria	Gammaproteobacteria_-_Enterobacteria	Yersinia	Yersinia_enterocolitica_subsp._palearctica_Y11
sfl	Bacteria	Gammaproteobacteria_-_Enterobacteria	Shigella	Shigella_flexneri_301_(serotype_2a)
sfx	Bacteria	Gammaproteobacteria_-_Enterobacteria	Shigella	Shigella_flexneri_2457T_(serotype_2a)
sfv	Bacteria	Gammaproteobacteria_-_Enterobacteria	Shigella	Shigella_flexneri_8401_(serotype_5b)
sfe	Bacteria	Gammaproteobacteria_-_Enterobacteria	Shigella	Shigella_flexneri_2002017_(serotype_Fxv)
ssn	Bacteria	Gammaproteobacteria_-_Enterobacteria	Shigella	Shigella_sonnei_Ss046
ssj	Bacteria	Gammaproteobacteria_-_Enterobacteria	Shigella	Shigella_sonnei_53G
sbo	Bacteria	Gammaproteobacteria_-_Enterobacteria	Shigella	Shigella_boydii_Sb227
sbc	Bacteria	Gammaproteobacteria_-_Enterobacteria	Shigella	Shigella_boydii_CDC_3083-94
sdy	Bacteria	Gammaproteobacteria_-_Enterobacteria	Shigella	Shigella_dysenteriae
eca	Bacteria	Gammaproteobacteria_-_Enterobacteria	Pectobacterium	Pectobacterium_atrosepticum
pct	Bacteria	Gammaproteobacteria_-_Enterobacteria	Pectobacterium	Pectobacterium_carotovorum_subsp._carotovorum_PC1
pcc	Bacteria	Gammaproteobacteria_-_Enterobacteria	Pectobacterium	Pectobacterium_carotovorum_subsp._carotovorum_PCC21
pwa	Bacteria	Gammaproteobacteria_-_Enterobacteria	Pectobacterium	Pectobacterium_wasabiae
pec	Bacteria	Gammaproteobacteria_-_Enterobacteria	Pectobacterium	Pectobacterium_sp._SCC3193
eta	Bacteria	Gammaproteobacteria_-_Enterobacteria	Erwinia	Erwinia_tasmaniensis
epy	Bacteria	Gammaproteobacteria_-_Enterobacteria	Erwinia	Erwinia_pyrifoliae_Ep1/96
epr	Bacteria	Gammaproteobacteria_-_Enterobacteria	Erwinia	Erwinia_pyrifoliae_DSM_12163
eam	Bacteria	Gammaproteobacteria_-_Enterobacteria	Erwinia	Erwinia_amylovora_CFBP1430
eay	Bacteria	Gammaproteobacteria_-_Enterobacteria	Erwinia	Erwinia_amylovora_ATCC_49946
ebi	Bacteria	Gammaproteobacteria_-_Enterobacteria	Erwinia	Erwinia_billingiae
erj	Bacteria	Gammaproteobacteria_-_Enterobacteria	Erwinia	Erwinia_sp._Ejp617
plu	Bacteria	Gammaproteobacteria_-_Enterobacteria	Photorhabdus	Photorhabdus_luminescens
pay	Bacteria	Gammaproteobacteria_-_Enterobacteria	Photorhabdus	Photorhabdus_asymbiotica
buc	Bacteria	Gammaproteobacteria_-_Enterobacteria	Buchnera	Buchnera_aphidicola_APS
bas	Bacteria	Gammaproteobacteria_-_Enterobacteria	Buchnera	Buchnera_aphidicola_Sg
bab	Bacteria	Gammaproteobacteria_-_Enterobacteria	Buchnera	Buchnera_aphidicola_Bp
bcc	Bacteria	Gammaproteobacteria_-_Enterobacteria	Buchnera	Buchnera_aphidicola_Cc
bap	Bacteria	Gammaproteobacteria_-_Enterobacteria	Buchnera	Buchnera_aphidicola_5A
bau	Bacteria	Gammaproteobacteria_-_Enterobacteria	Buchnera	Buchnera_aphidicola_Tuc7
bak	Bacteria	Gammaproteobacteria_-_Enterobacteria	Buchnera	Buchnera_aphidicola_Ak
baw	Bacteria	Gammaproteobacteria_-_Enterobacteria	Buchnera	Buchnera_aphidicola_JF98
bajc	Bacteria	Gammaproteobacteria_-_Enterobacteria	Buchnera	Buchnera_aphidicola_JF99
bua	Bacteria	Gammaproteobacteria_-_Enterobacteria	Buchnera	Buchnera_aphidicola_LL01
bup	Bacteria	Gammaproteobacteria_-_Enterobacteria	Buchnera	Buchnera_aphidicola_TLW03
buh	Bacteria	Gammaproteobacteria_-_Enterobacteria	Buchnera	Buchnera_aphidicola_Ua
baj	Bacteria	Gammaproteobacteria_-_Enterobacteria	Buchnera	Buchnera_aphidicola_(Cinara_tujafilina)
wbr	Bacteria	Gammaproteobacteria_-_Enterobacteria	Wigglesworthia	Wigglesworthia_glossinidia_brevipalpis
wgl	Bacteria	Gammaproteobacteria_-_Enterobacteria	Wigglesworthia	Wigglesworthia_glossinidia_morsitans
sgl	Bacteria	Gammaproteobacteria_-_Enterobacteria	Sodalis	Sodalis_glossinidius
ent	Bacteria	Gammaproteobacteria_-_Enterobacteria	Enterobacter	Enterobacter_sp._638
enc	Bacteria	Gammaproteobacteria_-_Enterobacteria	Enterobacter	Enterobacter_cloacae_subsp._cloacae_ATCC_13047
eno	Bacteria	Gammaproteobacteria_-_Enterobacteria	Enterobacter	Enterobacter_cloacae_subsp._cloacae_ENHKU01
eclo	Bacteria	Gammaproteobacteria_-_Enterobacteria	Enterobacter	Enterobacter_cloacae_subsp._cloacae_NCTC_9394
esc	Bacteria	Gammaproteobacteria_-_Enterobacteria	Enterobacter	Enterobacter_cloacae_SCF1
eec	Bacteria	Gammaproteobacteria_-_Enterobacteria	Enterobacter	Enterobacter_cloacae_EcWSU1
enl	Bacteria	Gammaproteobacteria_-_Enterobacteria	Enterobacter	Enterobacter_cloacae_subsp._dissolvens_SDM
eas	Bacteria	Gammaproteobacteria_-_Enterobacteria	Enterobacter	Enterobacter_asburiae
eae	Bacteria	Gammaproteobacteria_-_Enterobacteria	Enterobacter	Enterobacter_aerogenes_KCTC_2190
ear	Bacteria	Gammaproteobacteria_-_Enterobacteria	Enterobacter	Enterobacter_aerogenes_EA1509E
enr	Bacteria	Gammaproteobacteria_-_Enterobacteria	Enterobacter	Enterobacter_sp._R4-368
esa	Bacteria	Gammaproteobacteria_-_Enterobacteria	Cronobacter	Cronobacter_sakazakii_ATCC_BAA-894
csk	Bacteria	Gammaproteobacteria_-_Enterobacteria	Cronobacter	Cronobacter_sakazakii_ES15
csz	Bacteria	Gammaproteobacteria_-_Enterobacteria	Cronobacter	Cronobacter_sakazakii_Sp291
ctu	Bacteria	Gammaproteobacteria_-_Enterobacteria	Cronobacter	Cronobacter_turicensis
kpn	Bacteria	Gammaproteobacteria_-_Enterobacteria	Klebsiella	Klebsiella_pneumoniae_subsp._pneumoniae_MGH_78578
kpu	Bacteria	Gammaproteobacteria_-_Enterobacteria	Klebsiella	Klebsiella_pneumoniae_NTUH-K2044
kpm	Bacteria	Gammaproteobacteria_-_Enterobacteria	Klebsiella	Klebsiella_pneumoniae_subsp._pneumoniae_HS11286
kpp	Bacteria	Gammaproteobacteria_-_Enterobacteria	Klebsiella	Klebsiella_pneumoniae_subsp._pneumoniae_1084
kpe	Bacteria	Gammaproteobacteria_-_Enterobacteria	Klebsiella	Klebsiella_pneumoniae_342
kpo	Bacteria	Gammaproteobacteria_-_Enterobacteria	Klebsiella	Klebsiella_pneumoniae_KCTC_2242
kpr	Bacteria	Gammaproteobacteria_-_Enterobacteria	Klebsiella	Klebsiella_pneumoniae_subsp._rhinoscleromatis_SB3432
kpj	Bacteria	Gammaproteobacteria_-_Enterobacteria	Klebsiella	Klebsiella_pneumoniae_JM45
kpi	Bacteria	Gammaproteobacteria_-_Enterobacteria	Klebsiella	Klebsiella_pneumoniae_CG43
kva	Bacteria	Gammaproteobacteria_-_Enterobacteria	Klebsiella	Klebsiella_variicola
kox	Bacteria	Gammaproteobacteria_-_Enterobacteria	Klebsiella	Klebsiella_oxytoca_KCTC_1686
koe	Bacteria	Gammaproteobacteria_-_Enterobacteria	Klebsiella	Klebsiella_oxytoca_E718
cko	Bacteria	Gammaproteobacteria_-_Enterobacteria	Citrobacter	Citrobacter_koseri_ATCC_BAA-895
cro	Bacteria	Gammaproteobacteria_-_Enterobacteria	Citrobacter	Citrobacter_rodentium
spe	Bacteria	Gammaproteobacteria_-_Enterobacteria	Serratia	Serratia_proteamaculans
srr	Bacteria	Gammaproteobacteria_-_Enterobacteria	Serratia	Serratia_plymuthica_AS9
srl	Bacteria	Gammaproteobacteria_-_Enterobacteria	Serratia	Serratia_plymuthica_4Rx13
sry	Bacteria	Gammaproteobacteria_-_Enterobacteria	Serratia	Serratia_plymuthica_S13
srs	Bacteria	Gammaproteobacteria_-_Enterobacteria	Serratia	Serratia_sp._AS12
sra	Bacteria	Gammaproteobacteria_-_Enterobacteria	Serratia	Serratia_sp._AS13
ssz	Bacteria	Gammaproteobacteria_-_Enterobacteria	Serratia	Serratia_symbiotica
smaf	Bacteria	Gammaproteobacteria_-_Enterobacteria	Serratia	Serratia_marcescens_FGI94
smw	Bacteria	Gammaproteobacteria_-_Enterobacteria	Serratia	Serratia_marcescens_WW4
slq	Bacteria	Gammaproteobacteria_-_Enterobacteria	Serratia	Serratia_liquefaciens
serr	Bacteria	Gammaproteobacteria_-_Enterobacteria	Serratia	Serratia_sp._ATCC_39006
pmr	Bacteria	Gammaproteobacteria_-_Enterobacteria	Proteus	Proteus_mirabilis_HI4320
pmib	Bacteria	Gammaproteobacteria_-_Enterobacteria	Proteus	Proteus_mirabilis_BB2000
eic	Bacteria	Gammaproteobacteria_-_Enterobacteria	Edwardsiella	Edwardsiella_ictaluri
etr	Bacteria	Gammaproteobacteria_-_Enterobacteria	Edwardsiella	Edwardsiella_tarda_EIB202
etd	Bacteria	Gammaproteobacteria_-_Enterobacteria	Edwardsiella	Edwardsiella_tarda_FL6-60
etc	Bacteria	Gammaproteobacteria_-_Enterobacteria	Edwardsiella	Edwardsiella_tarda_C07-087
bfl	Bacteria	Gammaproteobacteria_-_Enterobacteria	Blochmannia	Candidatus_Blochmannia_floridanus
bpn	Bacteria	Gammaproteobacteria_-_Enterobacteria	Blochmannia	Candidatus_Blochmannia_pennsylvanicus
bva	Bacteria	Gammaproteobacteria_-_Enterobacteria	Blochmannia	Candidatus_Blochmannia_vafer
bchr	Bacteria	Gammaproteobacteria_-_Enterobacteria	Blochmannia	Candidatus_Blochmannia_chromaiodes
hde	Bacteria	Gammaproteobacteria_-_Enterobacteria	Hamiltonella	Candidatus_Hamiltonella_defensa
dda	Bacteria	Gammaproteobacteria_-_Enterobacteria	Dickeya	Dickeya_dadantii_Ech703
ddc	Bacteria	Gammaproteobacteria_-_Enterobacteria	Dickeya	Dickeya_dadantii_Ech586
ddd	Bacteria	Gammaproteobacteria_-_Enterobacteria	Dickeya	Dickeya_dadantii_3937
dze	Bacteria	Gammaproteobacteria_-_Enterobacteria	Dickeya	Dickeya_zeae
xbo	Bacteria	Gammaproteobacteria_-_Enterobacteria	Xenorhabdus	Xenorhabdus_bovienii
xne	Bacteria	Gammaproteobacteria_-_Enterobacteria	Xenorhabdus	Xenorhabdus_nematophila
pam	Bacteria	Gammaproteobacteria_-_Enterobacteria	Pantoea	Pantoea_ananatis_LMG_20103
plf	Bacteria	Gammaproteobacteria_-_Enterobacteria	Pantoea	Pantoea_ananatis_LMG_5342
paj	Bacteria	Gammaproteobacteria_-_Enterobacteria	Pantoea	Pantoea_ananatis_AJ13355
paq	Bacteria	Gammaproteobacteria_-_Enterobacteria	Pantoea	Pantoea_ananatis_PA13
pva	Bacteria	Gammaproteobacteria_-_Enterobacteria	Pantoea	Pantoea_vagans
pao	Bacteria	Gammaproteobacteria_-_Enterobacteria	Pantoea	Pantoea_sp._At-9b
rip	Bacteria	Gammaproteobacteria_-_Enterobacteria	Riesia	Candidatus_Riesia_pediculicola
rah	Bacteria	Gammaproteobacteria_-_Enterobacteria	Rahnella	Rahnella_sp._Y9602
raq	Bacteria	Gammaproteobacteria_-_Enterobacteria	Rahnella	Rahnella_aquatilis_CIP_78.65_=_ATCC_33071
raa	Bacteria	Gammaproteobacteria_-_Enterobacteria	Rahnella	Rahnella_aquatilis_HX2
men	Bacteria	Gammaproteobacteria_-_Enterobacteria	Moranella	Candidatus_Moranella_endobia_PCIT
meo	Bacteria	Gammaproteobacteria_-_Enterobacteria	Moranella	Candidatus_Moranella_endobia_PCVAL
psi	Bacteria	Gammaproteobacteria_-_Enterobacteria	Providencia	Providencia_stuartii
mmk	Bacteria	Gammaproteobacteria_-_Enterobacteria	Morganella	Morganella_morganii
ror	Bacteria	Gammaproteobacteria_-_Enterobacteria	Raoultella	Raoultella_ornithinolytica
sect	Bacteria	Gammaproteobacteria_-_Enterobacteria	Other_Enterobacteria	Secondary_endosymbiont_of_Ctenarytaina_eucalypti
sehc	Bacteria	Gammaproteobacteria_-_Enterobacteria	Other_Enterobacteria	Secondary_endosymbiont_of_Heteropsylla_cubana
