KO_code	Compound_codes
K15633	C00197,C00197,C00197,C00631,C00197,C00197,C00197,C00197
K01222	C01172
K01223	C01172
K00858	C00006,C00006
K14225	
K02759	
K01269	
K02755	
K01934	C00445,C00445
K02756	
K01012	C00120,C01909
K01011	C00094,C00094,C00320,C00022,C00957
K01159	
K15023	C00101,C00101,C00101,C00024,C00237,C00440,C00101,C00024
K09963	
K00939	C00008,C00020,C00008,C00206,C00360
K00936	
K00620	C00624,C00624,C00624,C00624,C00624,C00077,C00077,C00077,C00077
K00627	C16255,C16255,C16255
K00626	C00332,C00332,C00332,C00024,C00024,C00024,C00332,C00332,C00332,C00332,C00024,C00332,C00024,C00332,C00332,C00024,C00332,C05269,C05269,C00010,C05269,C05269
K00760	C00147,C00020,C00262,C00262,C00144,C00144,C00655,C00655,C00385,C04646,C16615,C16619
K00930	C04133,C04133,C04133,C04133,C04133
K06901	
K06410	
K06896	
K07238	
K06898	
K02965	
K02992	
K03412	
K01925	C00692,C00692,C00692
K00891	C03175,C00493,C03175,C03175
K06714	
K15024	C00227,C00227,C00227,C00024,C00227,C00227,C00227,C00227,C02876,C00100
K11070	
K11071	
K11072	
K02556	
K02470	
K05311	
K07079	
K02477	
K02478	
K03574	
K11635	
K03572	
K03570	
K17464	C20589,C20589
K01714	C20258,C20258,C20258,C20258,C20258
K01715	C00877,C01144,C01144,C01144,C01144,C01144,C01144,C00877,C00877,C01144,C00877,C00877,C00877,C00877
K01652	C00900,C05125,C05125,C05125,C05125,C05125,C06010,C06010,C00022,C00022,C06010,C06010,C00900,C00068,C06006,C06006,C06006,C06006,C06006
K02909	
K02874	
K02876	
K03976	
K02871	
K00656	C00022,C00024,C00024,C00100
K00657	C02714,C02714
K03978	
K00655	C00416,C00416,C00681
K02878	
K02879	
K03210	
K00651	C01118,C01118,C00263,C01118,C01118
K07281	
K07282	
K02051	
K06436	
K08217	
K06438	
K02191	C11545,C11545
K02190	C11538,C11538
K07124	
K00767	C01185,C01185
K02372	C04246,C04246,C04246,C05754,C05754,C05754,C05751,C05751,C05751,C05763,C05763,C05763,C05760,C05760,C05760,C05748,C05748,C05748,C05758,C05758,C05758,C16221,C16221,C16221,C20374,C20374,C20378
K02371	C05745,C05745,C05745,C05223,C05223,C05223,C05749,C05749,C05749,C05752,C05752,C05752,C05755,C05755,C05755,C05761,C05761,C05761,C05764,C05764,C05764,C04088,C04088,C04088
K03719	
K03601	
K00086	C05979,C02457
K03710	
K03711	
K03716	
K03602	
K01870	C03127
K01873	C02554
K01872	C00886
K01875	C02553,C06481
K02902	
K01876	C02984
K01879	C02412
K01878	C02412
K03481	
K03486	
K03484	
K06024	
K06416	
K04023	
K07012	
K04027	
K04026	
K04029	
K04028	
K13292	
K01977	
K03110	
K00019	C00164,C00164,C00164
K03475	C16186,C16186,C16186
K02420	
K07050	
K07053	
K03809	
K06412	
K00012	C00167,C00167,C00167,C00167,C00167,C00167
K04562	
