KO_code	Compound_codes
K01007	C00022,C00022,C00022,C00074,C00022,C00022
K01008	C01528,C01528
K01372	
K01205	G13038,G13038
K02484	
K01439	C04421,C04421,C04421,C04421
K01438	C00437,C00437,C00437,C00437,C00437,C15532
K03427	
K00924	
K00639	C00037
K00341	
K00634	C00136,C02527
K00929	C00246,C02527
K01433	C00234,C00234
K03629	
K00342	
K00633	
K07657	
K14441	
K00337	
K14445	
K02049	
K08191	
K00773	
K07552	
K07221	
K00700	C00718,C00369,C00718
K02986	
K09973	
K15342	
K00346	
K02982	
K03931	
K02988	
K07387	
K07386	
K06926	
K02112	
K02111	
K02110	
K02117	
K06923	
K02115	
K06921	
K02563	C05897,C00043,C04851,C04851
K02119	
K02118	
K02566	
K03465	C00365,C00143
K03466	
K01649	C00141,C00024,C02504,C02504,C00141,C00141
K05970	
K12962	
K12960	
K13747	C18172,C18174
K02190	C05778,C05778
K00331	
K00330	
K03282	
K07037	
K07035	
K00336	
K00339	
K00338	
K00703	C00498,C00718,C00498
K00705	C00031
K03503	
K14060	
K07138	
K07139	
K02188	C16243,C16243
K06400	
K06402	
K07132	
K07133	
K06959	
K03517	C05840,C00111,C05840
K06409	
K07137	
K02029	
K06956	
K02536	C06022,C04652
K03885	
K02361	C00251,C00251,C00251,C00251
K00096	C00111,C00111
K03768	
K12251	C00436,C00436
K03313	
K09125	
K09124	
K09457	C15996,C16675
K16211	
K17716	C00029,C00029,C00052,C00029
K01866	C00082
K01867	C00078
K03210	
K07455	
K01868	C00188
K01869	C00123
K10388	
K09458	C01209,C03939,C03939,C01209,C01209,C03939,C01209,C05223,C05223,C01209,C05223,C01209,C05745,C01209,C05745,C05745,C01209,C05749,C01209,C05749,C05749,C01209,C05752,C05752,C01209,C05752,C01209,C05755,C05755,C01209,C05755,C01209,C05761,C05761,C01209,C05761,C05764,C01209,C05764,C05764,C01209,C19673,C01209,C19673,C01209,C20375,C01209,C20375
K01585	C00062,C00062
K00147	C03287,C01165,C03287
K00145	C04133,C04133,C01250,C04133,C04133
K01945	C03090,C03090,C03090
K07456	
K01940	C00049,C00049,C00327,C00049,C00327,C00327,C00049,C00327
K01892	C00135
K00384	C00343,C00343,C05684,C18902
K03340	C03871,C00680,C00680,C03871
K01429	C00086,C00086,C00086,C00086,C00086
K00029	C00149,C00149,C00149,C00149,C00149,C00149,C00149
K07043	
K00382	C02972,C15973,C15973,C15973,C15973,C00026
K02897	
K00024	C00149,C00149,C00149,C00036,C00036,C00036,C00149,C00149,C00149,C00149
K00027	C00149,C00149,C00149,C00149,C00149
K00794	C04732,C15556,C15556,C04732
K00793	C04332,C04332
K12994	
K00790	C00043,C00043,C04631
K09015	
K09014	
K09013	
K03088	
K03086	
K00891	C00493,C03175,C00493,C00493
K01262	
K00606	C00141,C00141,C00141
K01265	
K00348	
K03169	
K01422	
K03243	
K08223	
K00287	C00415,C00101,C00101,C00504,C00504,C00504,C00415,C00101,C00101,C00504,C00504,C00504,C00504,C00415,C00415,C00504,C00415,C00415
K08384	
K09157	
K01787	C00140
K11921	
K05869	
K09167	
K11928	
K00097	C06055,C07335,C07335,C11638
K16363	C04618,C04618,C04618,C04619,C04619,C04619,C04620,C04620,C04620,C04633,C04633,C04633,C04688,C04688,C04688,C04738,C04738,C05747,C05747,C05747,C05757,C05757,C05757
K03549	
K00560	C00365,C00143,C00365
K03646	
K03650	
K03640	
K06142	
K00566	
K00567	
K00241	C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042
K02078	
K00243	
K03648	
K07791	
K00791	C00235,C00066,C00235,C00235
K12741	
K04762	
K04763	
K00962	C00046,C00046,C00046,C00046
K00963	C00103,C00103,C00103,C00103,C00029,C00103
K01163	
K00969	C00455,C01185,C01185
K07263	
K00806	C00448,C00448
K00805	C00448,C00448
K00800	C03175,C01269,C03175,C03175
K15460	
K06213	
K00680	C05338,C07118,C07118,C07118,C06715,C06715,C11948,C00093,C00040,C16273,C16273
K08676	
K02948	
K00826	C00123,C00123,C00123,C00233,C00123,C00233,C00123,C00183,C00141,C00183,C00183,C00141,C00183,C00141,C00183,C00407,C00671,C00407,C00671,C00407,C00671,C00407
K00857	C00214,C00214,C00526,C11736
K06199	
K01834	C00631,C00631,C00631,C00197,C00631,C00631,C00631,C00631
K09758	C00049,C00041,C00049,C00606
K11720	
K02945	
K02946	
K16264	
K00973	C00103,C00103,C00103,C00103
K06969	
K01689	C00631,C00074,C00631,C00631,C00631,C00631,C00631
K01686	C00514,C00514
K01687	C04039,C04272,C04272,C04272,C04272,C04272,C06007,C06007,C06007,C06007,C06007
K02014	
K01685	C00817,C00204
K06966	
K06967	
K01681	C00311,C00158,C00158,C00158,C00158,C00417,C00417,C00417,C00158,C00158,C00158,C00417,C00417,C00311,C00311,C00311,C00311,C00417
K01768	C00002,C00044
K01442	C05122,C05122,C05466,C05465,C01921,C01921
K01443	C00357,C00352
K00748	C04824,C04652,C04652,C04824
K00661	
K01447	
K01448	
K01449	
K02445	
K03308	
K07507	
K02493	
K00605	C00037,C00037,C00037,C00445,C00101,C01242,C00101,C00101,C01242
K05810	
K02888	
K02495	C03263,C03263,C03263
K13735	
K02884	
K02887	
K02886	
K08999	
K08169	
K07462	
K04564	
K08364	
K04567	C00047
K09805	
K01042	C06481,C05172,C06481
K14415	
K02169	C01209,C01209
K10914	
K02066	
K02065	
K10678	C16391,C16391,C16391,C16391,C16391,C16391
K10773	
K01808	C00117,C00117,C00117,C00117,C00117,C00117,C00117,C02962,C02962
K10778	
K01181	
K02838	
K00595	C06319,C06319
K01610	C00036,C00036,C00036,C00074,C00036,C00036
K01613	C02737,C00350
K02122	
K02123	
K02121	
K01619	C00673
K02124	
K09861	
K08722	C00020,C00020,C00055,C00105,C00130,C00130,C00144,C00144,C00364,C00239,C00362,C00330,C00360,C00360,C00455,C00655,C00655,C00655,C01185
K03832	
K00067	C00688,C00688,C03319,C03319
K00066	C00096,C00096
K00548	C00155,C00440,C00155,C00155,C00155,C05698
K03839	
K03547	
K07164	
K03545	
K01911	C02730,C02730,C02730
K02834	
K02835	
K13038	C04352,C04352,C03492,C00097,C03492,C03492,C00097,C03492
K02837	
K00340	
K02839	
K03426	C00003,C00857
K03687	
K03932	
K07007	
K07004	
K07005	
K03205	
K00991	C11434,C11435,C11434
K13192	
K09117	
K03617	
K03615	
K03614	
K03613	
K03612	
K03758	
K09704	
K02232	C06506,C06507
K02233	C05775,C06510,C05775,C06510
K02230	C06503,C06503
K02231	C06508,C06508,C06509,C06509,C06508,C06508
K02337	C00131,C00039,C00286,C00286,C00458,C00458,C00459,C00459
K02335	C00131,C00039,C00286,C00286,C00458,C00458,C00459,C00459
K05829	C04133,C04133,C01250,C04133,C04133,C19887,C19887,C19887,C19887
K02238	
K06143	
K00525	C00008,C00008,C00342,C00015,C00035,C00035,C00112,C00342,C00112
K00527	C00002,C00002,C00044,C00044,C00342,C00063,C00063,C00342,C00342
K01835	C00103,C00103,C00103,C00103,C00103,C00103,C00103,C00620,C00620,C00103,C00103
K00208	C04246,C04246,C04246,C05758,C05758,C05758,C05748,C05748,C05748,C05751,C05751,C05751,C05754,C05754,C05754,C05760,C05760,C05760,C05763,C05763,C05763,C16221,C16221,C16221,C20374,C20374,C20378,C20378
K16899	
K00286	C00148,C03912,C00148,C03912,C00148,C03912,C00148,C03912,C04281,C01157,C04281,C01157
K00528	
K00283	C00037,C02051,C01242
K00282	C00037,C02051,C01242
K03723	
K03455	
K07715	
K04069	
K04068	
K07042	
K01854	
K00111	C00093
K00849	C00124,C00124,C00446,C00124
K03686	
K00112	C00093
K05606	C00683,C00683,C00683,C00683,C00683,C01213,C00683,C18026,C18026
K00841	C05539,C04390,C04390,C05539
K00848	C00312,C00861
K00847	C00095,C00095,C02336,C02336
K00845	C00031,C00031,C00031,C00221,C00221,C00221,C00267,C00267,C00267,C00267,C00267,C00668,C00267,C00267,C00267
K02956	
K16210	
K04720	C12147
K01533	C00002
K01534	
K00179	
K01537	
K07301	
K03111	
K06393	
K03113	
K06394	
K06397	
K00796	C00568,C01300,C00568,C01300,C00568,C04807,C04807,C00568
K03118	
K06398	
K00901	C00641,C00641,C00641,C00641
K01804	C00259,C00259
K02952	
K07405	C00369,C00369
K03110	
K00762	C01103,C00295,C00119
K02965	
K02909	
K08218	
K06390	
K02906	
K02907	
K01734	C00111
K02902	
K15738	
K01880	C00037
K01881	C00148
K01883	C00097
K01885	C00025,C00025,C00025,C00025
K01886	C00064,C02282
K01887	C00062
K08591	C00040,C00093,C00093,C00040,C00093
K08590	
K15634	C00631,C00631,C00631,C00197,C00631,C00631,C00631,C00631
K12995	
K15633	C00631,C00631,C00631,C00197,C00631,C00631,C00631,C00631
K03386	
K01154	
K01155	
K03116	
K01151	
K11749	
K01430	C00086,C00086,C00086,C00086,C00086
K06396	
K01409	
K01159	
K06399	
K06903	
K00833	C01092,C01092
K00939	C00020,C00008,C00020,C00360,C00206
K00831	C01005,C03232,C01005,C01005,C03232,C01005,C06055,C06054
K00937	
K00936	
K00620	C00025,C00025,C00025,C00025,C00025,C00437,C00437,C00437,C00437
K00625	C00024,C00024,C00024,C00227,C00024,C00024,C00024,C00024,C00100,C02876
K00930	C00624,C00624,C00624,C00624,C00624
K05521	
K06891	
K06896	
K09011	C00024,C00022,C00022,C00022,C00022
K10955	
K01890	C00079
K16212	
K00882	C01094
K02621	
K02992	
K02622	
K08281	C00153,C00253
K01738	C00979,C00283,C00979,C00283,C00979,C00283,C00283,C00979,C00283,C00979,C00979,C00979
K02994	
K01081	C00020,C00020,C00055,C00105,C00130,C00130,C00144,C00144,C00364,C00239,C00362,C00330,C00360,C00360,C00455,C00655,C00655,C00655,C01185
K01129	C00286
K08289	C03838,C00234,C00101,C03838,C03838,C00445,C00101
K11071	
K11072	
K15987	
K02470	
K07154	
K02472	C01170
K02474	C00203
K03546	
K02477	
K03574	
K03572	
K02548	C03657,C04146,C03657,C03657,C04146,C03657,C05427,C03657,C13309,C03657,C05427
K03570	
K00895	C05345
K01710	C00842,C00842,C00842,C00842,C00842
K01711	C00096,C00096,C00096
K01712	C00785,C00785
K00048	C01380,C01380,C00583
K01714	C00441,C00441,C00441,C00441,C00441
K01719	C01024,C01024,C01024
K01653	C00022,C00022,C00068,C00068,C00022,C00068,C00022,C00068,C00022,C00022,C00022,C00022,C06010,C06010,C00022,C00022,C05125,C00109,C00022,C00022,C00109,C00109,C00109,C00109
K01652	C00022,C00022,C00068,C00068,C00022,C00068,C00022,C00068,C00022,C00022,C00022,C00022,C06010,C06010,C00022,C00022,C05125,C00109,C00022,C00022,C00109,C00109,C00109,C00109
K01654	C00645,C06241,C04257,C06241
K01657	C00251,C00251,C00251,C00251,C00251,C00251,C00251,C00251
K02874	
K16592	
K02876	
K07074	
K08641	
K03977	
K03168	
K00657	C00134,C00134
K03978	
K03979	
K00652	C01063,C01063,C19845,C19845
K02879	
K12257	
K00651	C00263,C00263,C01118,C00263,C00263
K02437	C00037,C00037,C00037
K02050	
K00761	C00105,C00106
K13378	
K14170	C00826,C00254,C00254,C00166,C00254,C00254,C00251,C00254,C00251,C00251
K08138	
K06438	
K03502	
K03501	
K03500	
K07124	
K07126	
K02372	C04618,C04618,C04618,C04619,C04619,C04619,C04620,C04620,C04620,C04633,C04633,C04633,C04688,C04688,C04688,C05747,C05747,C05747,C05757,C05757,C05757,C16220,C16220,C16220,C20373,C20373,C20377
K03718	
K03719	
K02377	C01222,C00325,C01222
K03892	
K03711	
K00088	C00130,C00130,C00130,C04646
K00082	C01268,C01268
K00046	
K01870	C00407
K01873	C00183
K01872	C00041
K01875	C00065,C00065
K07783	
K01876	C00049
K06023	
K07257	
K05946	
K09747	
K04561	C00533,C00533
K00290	C00449,C00047,C00047,C00449,C00449
K15923	
K13018	C20359
K02961	
K06906	
K16785	
K00156	C00022
K03424	
K01972	
K17677	
K13292	
K00343	
K00018	C00160,C00048,C00160,C00258,C00258,C00168,C00168,C00258,C00258,C00168
K07054	
K03474	C11638,C11437,C11638
K03473	C03393,C03393
K07053	
K03470	
K03806	
K00012	C00029,C00029,C00029,C00029,C00029,C00029
K00013	C00860,C01929,C01929,C01929,C00860,C00860,C00860
K00014	C00493,C02637,C00493,C02637
K12984	
K03800	C00725,C00725,C16238,C16238
K03524	C00120,C00120,C05921,C05921
K03154	
K07114	
K03624	
K03625	
K03150	
K03527	C11811,C11811,C11811,C11811,C11811,C11811,C11811,C11811,C11811,C11811
K03152	
K01376	
K00966	C00636,C00636,C00096,C00636
K07148	
K03091	
K13990	C00025,C00664,C00101,C00439,C00445,C00445,C03479,C00101
K03628	
K03092	
K15383	
K06113	
K02003	
K01889	C00079
K01661	C03160,C03160,C03160
K03803	
K06297	
K02429	
K00648	C00024,C00229,C03939,C00229,C00024,C01209,C03939,C03939,C01209,C01209,C03939
K07014	
K15635	C00631,C00631,C00631,C00197,C00631,C00631,C00631,C00631
K04656	
K11934	
K00347	
K01874	C00073,C05335
K03786	C00944,C00944,C00944,C00944
K00278	C00049,C00036,C00049,C00049
K07001	
K00655	C00681,C00040,C00040,C00681,C00416
K04094	
K04095	
K04096	
K01308	
K03657	
K03655	
K03654	
K03658	
K00571	
K06295	
K01156	
K00971	C00636,C00636,C00096,C00636
K00970	
K00975	C00103,C00103,C00498,C00103
K00974	
K01112	C00006,C03267
K07118	
K00979	C01187,C04121
K07085	
K04477	
K11741	
K07271	
K00239	C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042
K07273	
K00879	C01721
K03801	C05752,C16236,C16239,C16239
K07277	
K13789	C00129,C00235,C00341,C00129,C00235,C00341,C00129,C00448,C00129,C00341,C00448,C00129,C00129,C00448,C00129,C00448
K00872	C00263,C01102,C00263,C00263
K00873	C00074,C00002,C00074,C00002,C00074,C00008,C00022,C00022,C00074,C00074,C00044,C00035,C00131,C00131,C00361,C00361,C00074,C00074,C00022
K00870	
K00876	C00475,C00055,C00475,C00055,C00475,C00055,C00475,C00055,C00299,C00105,C00299,C00105,C00299,C00105,C00299,C00105,C00475,C00055,C00299,C00105,C00299,C00105,C00475,C00055,C00475,C00055,C00299,C00105,C00299,C00105,C00299,C00105,C00475,C00055,C00475,C00055,C16633
K03529	
K00874	C00204,C04442,C00204,C00204
K01153	
K04487	C15811,C00097
K09922	
K06201	
K02954	
K06207	
K14652	C00044,C00044,C00199,C00199
K02950	
K02959	
K01277	
K06147	
K00563	
K01579	C00049,C00049,C00049,C00049
K01270	C01419,C01419,C05729
K05776	
K01577	C00313,C00798
K01571	C00036,C00036,C05946,C00048
K01572	C00036,C00036,C05946,C00048
K03641	
K01754	C00065,C00022,C00065,C00065,C00065,C00188,C00188,C00188,C00188,C00188
K01755	C03406,C03406,C03406,C03406,C03406
K01879	C00037
K01750	C00077,C00077,C00077
K02008	
K01752	C00065,C00022,C00065,C00065,C00065,C00065
K15921	C02474,C02474
K02005	
K02004	
K02007	
K02006	
K01759	C03451
K01693	C04666,C01267,C04666,C04666
K01012	C01909,C00120
K07082	
K00390	C00053,C00053,C00053
K00759	C00020,C00147,C00242,C00242,C04677
K00611	C00077,C00169,C00077,C00169,C00077,C00077,C00169
K00610	C00169,C00049,C00438
K02440	
K06871	
K00615	C00085,C00118,C00085,C00085,C00118,C00085,C05382,C00118,C05382,C00118,C00231,C00117,C05382,C00118,C05382,C00118,C05382,C00118,C05382,C05382,C05345,C00118,C00118,C05345,C05345,C00118,C00118,C05345,C00118,C05345,C05345,C12214,C12214
K06950	
K07088	
K07089	
K00757	C00299,C00299,C07649
K01599	C01051,C01051,C01051,C05766
K02481	
K06001	C00463,C00463,C00463,C03506,C03506,C03506,C03506,C00065,C03506,C03506,C00065,C03506,C03506
K07478	
K07099	
K09760	
K08600	
K02687	
K07056	
K03531	
K01051	C00714,C00714,C00714
K09955	
K09952	
K01056	
K08372	
K09817	
K05808	
K01224	
K06374	
K08978	
K02499	
K09811	
K05515	
K02500	C04916,C04916,C04916,C04916
K02501	C04916,C04916,C04916,C04916
K02502	C02739,C00119,C02739,C00119
K02503	
K07491	
K06881	
K01338	
K03444	
K01810	C00668,C00668,C00668,C00668,C00668,C00668,C00668,C00668,C00668,C05345,C00668,C00668,C00668,C01172,C05345,C01172,C01172
K03442	
K04764	
K09748	
K01620	C00188,C00037,C00188,C00188,C00188,C00037,C05519
K00113	C00093
K00925	C00033,C00033,C00033,C00033,C00227,C00033,C00033,C00163
K01938	C00101,C00101,C00058,C00101,C00234,C00058,C00101,C00101,C00058
K01939	C00130,C00049,C03794
K01627	C01112,C04478
K01934	C03479,C03479
K01935	C01037,C01909
K06872	
K01937	C00075,C00075,C00075,C00075
K10380	
K02601	
