KO_code	Compound_codes
K01825	C01144,C01144,C01144,C01144,C01144,C00332,C01144,C01144,C01144,C01144,C00877,C00877,C00877,C00877,C00877,C00877,C01144,C01144,C00877,C01144,C05668,C00894,C05668,C05668,C05668,C05668,C01144,C01144,C05998,C05262,C05262,C05262,C05262,C04405,C04405,C04405,C03345,C04405,C04405,C03460,C03460,C05259,C05258,C05259,C05258,C05258,C05258,C05258,C05258,C05261,C05260,C05261,C05260,C05260,C05260,C05260,C05260,C05263,C05262,C05263,C05262,C05264,C05264,C05264,C05264,C05267,C05266,C05267,C05266,C05266,C05266,C05266,C05266,C05269,C05268,C05269,C05268,C05268,C05268,C05268,C05268,C05280,C06001,C06001,C11946,C11945,C14145,C14145,C14145,C14145,C14144,C14144,C14144,C14144,C16374,C16374,C16387,C16387,C16468,C16468,C16469,C16469
K00639	C00037
K00926	C00169,C00014,C00169,C00014,C00169
K00928	C00049,C00049,C00049,C00049,C00049,C00049,C00049,C00049
K00075	C04631,C04631,C04631,C04631,C04631,C04631
K07071	
K00631	C00040,C00093,C00093,C00040,C00093
K05881	
K07657	
K07229	
K08194	
K07224	
K13641	
K05539	
K07552	
K15834	
K09971	
K09972	
K09973	
K15342	
K02982	
K15833	
K02988	
K01139	C01228
K08351	C20386,C20386
K03583	
K02299	
K02568	C00088,C00244,C00244,C00088
K02446	C00354,C00354,C00085,C00354,C00354,C05378,C05378,C05378,C05345,C05345,C05345,C05378
K03587	C05898
K02440	
K03585	
K03584	
K02562	
K01338	
K02566	
K02564	C00352
K02297	
K00788	C04327,C04752,C04327,C04752
K09023	C20253,C20253
K01649	C00141,C00024,C02504,C02504,C00141,C00141
K01720	C02225
K12961	
K01643	C00158,C00036
K01647	C00036,C00024,C00158,C00024,C00036,C00036,C00024,C00158,C00158,C00036,C00036
K02849	
K00285	C02265
K00700	C00718,C00369,C00718
K00703	C00498,C00718,C00498
K00705	C00031
K02598	
K02027	
K02025	
K07139	
K06957	
K14065	
K02031	
K02841	
K06959	
K03517	C05840,C00111,C05840
K02844	
K02847	
K02846	
K00090	C00257,C06473,C00257
K04652	
K03885	
K12369	
K12368	
K03769	
K11930	
K00099	C11437,C11434,C11434
K02020	
K05781	
K03762	
K11750	
K03760	
K05819	
K05818	
K01866	C00082
K01867	C00078
K03210	
K11941	
K05813	
K05879	C00184,C00184,C00184,C00184,C00184
K01868	C00188
K01869	C00123
K05817	
K05816	
K02168	
K09458	C01209,C03939,C03939,C01209,C01209,C03939,C01209,C05223,C05223,C01209,C05223,C01209,C05745,C01209,C05745,C05745,C01209,C05749,C01209,C05749,C05749,C01209,C05752,C05752,C01209,C05752,C01209,C05755,C05755,C01209,C05755,C01209,C05761,C05761,C01209,C05761,C05764,C01209,C05764,C05764,C01209,C19673,C01209,C19673,C01209,C20375,C01209,C20375
K16849	C00817,C00204
K04031	
K00146	C00601,C00601,C00601,C07086,C00601
K01945	C03090,C03090,C03090
K01940	C00049,C00049,C00327,C00049,C00327,C00327,C00049,C00327
K07237	
K05875	
K08191	
K00380	C00094,C00283,C00094,C00283
K02182	
K00799	C00051,C01322,C14786,C14787,C14787,C14802,C14802,C14800,C14800,C14839,C14840,C14851,C14852,C14858,C14857,C14859,C14865,C06790,C11088,C14870,C07645,C19586
K00383	C00127,C00005
K00797	C01137,C00134,C01137,C00134,C00170,C00315,C01137,C00315,C01137,C00750,C00315,C00315,C01672
K00796	C00568,C01300,C00568,C01300,C00568,C04807,C04807,C00568
K00027	C00149,C00149,C00149,C00149,C00149
K07724	
K00364	C00144
K07048	
K12995	
K09015	
K06917	
K09815	
K05878	C00184,C00184,C00184,C00184,C00184
K12516	
K00891	C00493,C03175,C00493,C00493
K01262	
K01265	
K09019	C00222,C00222,C01013,C01013,C00222
K00675	
K03169	
K02337	C00131,C00039,C00286,C00286,C00458,C00458,C00459,C00459
K01069	C03451
K08223	
K02336	
K10037	
K10036	
K03092	
K06929	
K06916	
K13244	
K11926	
K02362	
K11925	
K11928	
K00097	C06055,C07335,C07335,C11638
K01785	C00267,C00267,C00267
K05712	C11457,C11457,C11457,C12621,C12621,C12621
K07387	
K14170	C00826,C00254,C00254,C00166,C00254,C00254,C00251,C00254,C00251,C00251
K07690	
K03642	
K03468	
K03648	
K03649	
K00247	C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042,C00042
K00965	C00029,C00446,C00029,C00446,C00446,C00029,C00446
K04764	
K04765	C00002,C00002,C00029,C00029,C00044,C00063,C00075,C00105,C00081
K04763	
K01169	
K04761	
K07263	
K03761	
K00806	C00448,C00448
K02682	
K07184	
K06214	
K15460	
K06211	
K06212	
K08314	
K07345	
K07347	
K08318	
K06219	
K08154	
K02948	
K05782	
K11645	C00354,C00118,C00354,C00354,C00354,C00118,C05378,C05378,C05378,C05378,C05378,C05378,C05378,C05378,C00111,C00279,C00279,C00447,C00279,C00111,C01094,C01094
K05780	C20396
K00857	C00214,C00214,C00526,C11736
K02779	C00031,C00031
K14393	
K06195	
K06194	
K11720	
K02945	
K10806	
K06190	
K02409	
K11105	
K11107	
K02018	
K02019	
K01686	C00514,C00514
K02400	
K07862	
K01685	C00817,C00204
K01682	C00311,C00158,C00158,C00158,C00158,C00417,C00417,C00417,C00158,C00158,C00158,C00417,C00417,C00311,C00311,C00311,C00311,C00417,C04225
K02013	
K05367	
K01681	C00311,C00158,C00158,C00158,C00158,C00417,C00417,C00417,C00158,C00158,C00158,C00417,C00417,C00311,C00311,C00311,C00311,C00417
K02413	
K00666	
K02014	
K01443	C00357,C00352
K00748	C04824,C04652,C04652,C04824
K06039	
K02791	C00208
K16012	
K02795	C00159,C00159,C00159
K02794	C00159,C00159,C00159
K02398	
K02492	C02987,C02987,C02987
K08994	
K05810	
K08160	
K02888	
K08162	
K08163	
K13735	
K02884	
K02498	
K00974	
K02881	
K08169	
K07462	
K03651	
K09800	
K02395	
K02068	
K02386	
K16346	
K01448	
K02394	
K14415	
K01048	
K07663	
K07660	
K02064	
K07486	
K10678	C16391,C16391,C16391,C16391,C16391,C16391
K02536	C06022,C04652
K07483	
K02533	
K11742	
K01141	
K02838	
K02761	
K05501	
K01665	C00251
K01610	C00036,C00036,C00036,C00074,C00036,C00036
K01613	C02737,C00350
K02082	
K02392	
K08310	
K01092	C01177,C01177,C03546,C03546,C03546,C04006,C04006,C04006,C04006,C04006
K03837	
K00060	C00188
K03835	
K09861	
K03833	
K03832	
K00067	C00688,C00688,C03319,C03319
K12957	
K00878	C04294,C04294
K03839	
K03838	
K03546	
K03545	
K03544	
K02834	
K07160	
K02836	
K02837	
K03424	
K13638	
K07000	
K03687	
K00344	
K07007	
K03931	
K03205	
K03755	
K03618	
K01766	
K02454	
K03611	
K03759	
K02237	
K05820	
K06148	
K02233	C05775,C06510,C05775,C06510
K02231	C06508,C06508,C06509,C06509,C06508,C06508
K06144	
K06145	
K02335	C00131,C00039,C00286,C00286,C00458,C00458,C00459,C00459
K06147	
K06140	
K06141	
K06143	
K00526	C00008,C00008,C00342,C00015,C00035,C00035,C00112,C00342,C00112
K00527	C00002,C00002,C00044,C00044,C00342,C00063,C00063,C00342,C00342
K01839	C00620,C00620,C00672
K01838	C00663
K15524	
K01835	C00103,C00103,C00103,C00103,C00103,C00103,C00103,C00620,C00620,C00103,C00103
K01834	C00631,C00631,C00631,C00197,C00631,C00631,C00631,C00631
K10543	
K03688	C05810,C05810,C05807,C05807,C05807
K03722	
K07714	
K04069	
K07713	
K07710	
K00029	C00149,C00149,C00149,C00149,C00149,C00149,C00149
K00117	C00031,C00198,C00031
K04066	
K13256	
K03685	
K00113	C00093
K13255	
K00847	C00095,C00095,C02336,C02336
K01531	
K00849	C00124,C00124,C00446,C00124
K00848	C00312,C00861
K07301	
K07300	
K03112	
K10002	
K03981	
K10000	
K03117	
K06905	
K04064	
K02459	
K00795	C00129,C00235,C00341,C00129,C00235,C00341,C00129,C00448,C00129,C00341
K02952	
K00762	C01103,C00295,C00119
K00794	C04732,C15556,C15556,C04732
K03787	C00020,C00020,C00055,C00105,C00130,C00130,C00144,C00144,C00364,C00239,C00362,C00330,C00360,C00360,C00455,C00655,C00655,C00655,C01185
K08218	
K03111	
K09181	
K16092	
K02906	
K16090	
K15738	
K01881	C00148
K01883	C00097
K12994	
K01886	C00064,C02282
K01887	C00062
K08591	C00040,C00093,C00093,C00040,C00093
K08590	
K01226	C00689,C00689
K00790	C00043,C00043,C04631
K15633	C00631,C00631,C00631,C00197,C00631,C00631,C00631,C00631
K01222	C06187
K07304	
K00763	C01185,C01185
K16074	
K01407	
K02759	
K03116	
K01150	
K01151	
K02757	
K10001	
K02750	C06186
K01011	C00320,C00320,C00094,C00957,C00022
K13771	
K00835	C00141,C00141,C00183
K02024	
K02796	C00159,C00159,C00159
K00626	C00024,C00024,C00024,C00332,C00332,C00332,C00024,C00024,C00024,C00024,C00332,C00024,C00332,C00024,C00024,C00332,C00024,C00024,C00136,C00024,C00136,C00024,C00024,C00136,C00136
K00930	C00624,C00624,C00624,C00624,C00624
