PCA1	PCA2	cluster	contig
-3.04897143	0.745137521	6	97
5.29059195	-1.41373784	0	98
-7.46005407	1.56022325	10	99
2.55051913	-2.83602359	0	100
4.11417248	1.4688093	3	101
-6.94486456	0.606716777	10	102
-2.27060409	-1.59209286	7	103
-8.79709311	1.90603828	10	104
-7.07910548	0.79725438	6	105
6.87979477	-2.7852093	0	106
2.71275143	-2.06611351	0	107
-7.41675732	0.981317743	6	108
5.43998524	-2.41739762	0	109
5.58395818	-2.09093868	0	110
5.57403992	-1.68671246	0	111
-4.68543108	-1.43322618	1	112
11.449059	3.67880434	9	113
5.21075203	-2.50442458	0	114
-4.12585667	-0.116878763	13	115
4.51442765	-2.35114191	0	116
3.5735973	-2.29161512	0	117
-8.91876976	2.04108313	6	118
6.22266552	-1.83779259	0	119
7.80211059	2.65991006	9	120
-4.10287832	-1.03179632	7	121
-8.69145473	1.58571322	10	122
-7.05860955	1.21340129	10	123
12.443479	3.22495561	9	124
3.1283617	-1.85335922	0	125
-4.96409042	-0.964119509	13	126
10.299048	3.18611219	9	127
-0.896277636	-2.01231215	0	128
-11.1681221	4.89739145	1	129
-4.10495128	0.588557497	6	130
-0.148356801	-1.83325659	0	131
-4.48805759	-1.92454588	7	132
1.870995	-2.14951026	0	133
6.4006697	-1.56139874	0	134
-10.6567041	3.86688796	1	135
-1.42892385	-1.64831022	7	136
13.2388742	3.99778253	9	137
3.60965903	-2.02212328	0	138
9.39484011	3.44800509	9	139
4.04556313	-2.59689407	0	140
2.7354913	-2.10967202	0	141
5.69754237	-2.35758853	0	142
-7.22694214	0.605881128	1	143
-1.73924396	-1.67305125	13	144
6.7687661	3.20635871	9	145
10.6364262	3.24116527	9	146
-4.4961669	-1.92386178	7	147
-6.52596108	1.95524034	1	148
-9.5666695	2.0216952	6	149
-1.03778319	-1.60323144	7	150
3.92858544	-1.90820979	0	151
5.61455223	-1.89278029	0	152
10.1803504	3.03332335	9	153
0.686506093	-2.8601783	0	154
-7.25162362	0.555291906	1	155
-9.52781232	1.88964113	1	156
-4.76228326	-1.39126599	13	157
9.01920099	2.79174724	9	158
-1.38795372	-1.95324913	7	159
-0.893390647	-1.80143933	0	160
5.02848054	-2.32793547	0	161
-5.16170834	0.0961193619	6	162
-4.35794976	-0.507025755	1	163
6.97195517	-1.59238807	0	164
2.87552265	-2.80474046	0	165
-0.358207263	-1.90019667	7	166
-3.49133452	-2.06932005	7	167
-6.93960246	1.02191857	6	168
-5.22100857	0.399685002	6	169
-4.09923677	-2.18212405	7	170
11.1380512	2.98006186	9	171
-6.06340371	0.619803035	10	172
5.22990054	-2.1110587	0	173
-5.58168658	0.857435303	10	174
-7.30892162	1.06199296	10	175
-8.1117462	1.25097655	10	176
3.10326036	-1.97538442	0	177
-7.83151457	0.88698075	10	178
-6.32720427	1.0811656	6	179
7.53318405	3.50659504	9	180
-6.96688076	1.08933788	10	181
-7.90604438	0.761386527	10	182
-7.83744246	0.622662375	10	183
-3.85700576	0.400265711	6	184
-0.318478339	-2.08542364	7	185
4.60359284	-1.65207904	0	186
-0.424171648	-2.07614754	7	187
-0.0283755903	-2.46074505	7	188
-5.35093348	1.21908369	6	189
10.3362952	2.81808554	9	190
5.96010564	-1.50048027	0	191
7.70204524	2.26216336	9	192
3.65480938	-2.8638636	0	193
-1.19546999	-2.29050561	7	194
2.04854474	-2.9784689	0	195
3.97961935	-2.36614034	0	196
14.6931265	3.48211549	9	197
-8.89447596	1.71009508	10	198
-8.70809791	0.367805675	13	199
-7.97425962	1.29885717	10	200
10.5684639	2.56480755	9	201
10.7056104	3.35203787	9	202
-1.67421366	-2.18534193	7	203
-0.851588704	-3.48030291	0	204
1.08232121	-2.46156283	0	205
-5.45897559	-0.278199979	1	206
-8.12235011	1.52406381	10	207
-4.1450437	0.38430586	6	208
-5.85064048	-1.09458684	13	209
-3.22675836	0.300512292	7	210
-11.4039834	3.7208373	1	211
2.97447085	-2.99658196	0	212
-5.26160193	-1.19147108	7	213
-5.90770421	0.510602001	1	214
5.94469197	-2.07512405	0	215
-4.21465669	0.505327059	6	216
-2.4532519	-2.40476721	7	217
-1.83666913	-1.83918841	7	218
10.3599748	4.13328133	9	219
4.77067016	-2.77260523	0	220
10.441631	3.13555173	9	221
5.95895831	-1.64716428	0	222
-5.94501696	-0.987948694	7	223
-8.45226782	1.07974778	1	224
9.57546337	2.65642606	9	225
-6.90061781	0.771120219	13	226
-5.49940978	-0.870772756	13	227
-0.469572017	-1.18291667	13	228
4.51559111	-2.43735623	0	229
1.93188823	-2.33238565	0	230
-3.6038322	0.134503877	6	231
-6.57748484	0.083282935	13	232
-5.95423184	-0.106700632	13	233
-4.72664927	0.0156049838	6	234
-3.3768777	-2.07743225	1	235
-1.52695419	-2.03798236	0	236
-1.30389306	-1.12282372	7	237
-0.997849552	-2.58425195	7	238
-7.11280207	-0.0332057291	13	239
2.98630637	-1.90890456	0	240
5.78143945	-2.28272589	0	241
-7.75814711	0.782641111	10	242
-6.05547357	1.05619531	6	243
-6.04347383	-0.35566934	13	244
-6.8091898	1.45334104	6	245
4.31042464	-2.56620866	0	246
-3.65061134	-1.27621631	13	247
-2.19707209	-2.30515121	7	248
-1.25599043	-1.95599462	7	249
5.33970072	-2.3944392	0	250
3.08876494	-2.31013587	0	251
-5.58506092	-1.15604544	13	252
3.82397069	-1.6183624	0	253
-2.1580398	-2.07027155	7	254
7.66449557	-2.64719251	0	255
-0.886214406	-1.98581488	7	256
2.8279092	0.993593827	9	257
2.52978381	-2.13781102	0	258
-4.80016811	-0.983484586	13	259
3.38303356	-3.1239142	0	260
-4.87492418	-1.48205023	7	261
8.10782497	3.08843611	9	262
0.12370587	-2.13000995	7	263
8.99873971	3.21296293	9	264
7.50915628	-0.247827719	0	265
0.419293014	-1.71329638	13	266
3.35053955	-0.821396156	0	267
-2.8161159	-1.28849839	7	268
-8.69965218	1.76582369	10	269
5.83674316	-2.31472673	0	270
-7.41787425	1.1281479	10	271
4.95067618	-1.86089416	0	272
-8.42686384	1.52385409	10	273
-0.429479458	-1.20818121	7	274
3.89311089	-1.8481208	0	275
-7.4529281	0.958165109	10	276
-0.239098831	-2.07816468	7	277
7.46030884	-1.36012114	0	278
2.65639984	-2.99540269	0	279
-0.197829936	-1.52048912	0	280
-0.878604852	-2.00552789	7	281
4.91006175	-1.6264072	0	282
5.41211778	1.99534702	9	283
-1.71271276	-1.72835022	7	284
-7.66535566	2.19780763	10	285
8.94860773	3.38889415	9	286
5.71141216	-3.31232486	0	287
5.05087794	-2.49589428	0	288
4.62131186	-2.32984522	0	289
-8.93094481	2.30693097	6	290
-3.30796709	1.38619116	11	291
10.1431534	3.77392146	9	292
-8.37905993	1.6546328	1	293
-4.51492178	-0.481936068	13	294
-0.237861562	-3.2890336	0	295
-7.16515436	1.00301885	10	296
9.51112383	2.93536562	9	297
-3.48430476	-1.66028725	13	298
-2.13776111	-2.53297144	0	299
10.4156669	3.91220335	9	300
-2.75274757	-1.64761893	0	301
-8.40775116	2.13405744	6	302
8.31805961	3.25256886	9	303
-3.77575194	-0.611520179	1	304
0.920457739	-3.17914296	0	305
8.89989913	3.21263387	9	306
9.96828252	3.76667794	9	307
-4.75987294	0.879317263	6	308
-1.29568427	-2.57197732	7	309
6.52619598	-1.47669664	0	310
4.2218816	-2.86940808	0	311
9.59288989	3.34830012	9	312
7.57411247	1.57852505	9	313
-0.256758859	-2.44314025	0	314
7.35506336	2.66257299	3	315
-1.57921206	-2.2557842	7	316
-7.16928174	1.01437649	10	317
-9.69270271	2.56322683	6	318
9.58751652	3.5437252	9	319
4.2137113	-2.15125041	0	320
-5.51502788	-0.60477375	1	321
2.61480549	-3.07197019	0	322
5.65723031	2.3882307	9	323
-5.33961061	-0.386525332	13	324
-0.0511795613	-2.03048453	7	325
4.45326004	-2.25947101	0	326
9.84700789	2.97105609	9	327
-10.0513246	2.14637185	1	328
-11.7081081	3.62160737	1	329
-7.48981055	-0.00828510059	13	330
-7.28301365	-0.707156629	13	331
-2.30618206	-1.52639951	13	332
4.52317808	-1.93160714	0	333
-5.97411445	1.69771059	10	334
-5.98388597	0.187858245	6	335
0.378632179	-1.95519274	13	336
-1.96331847	-1.51549437	13	337
5.02644427	-2.88294351	0	338
5.73196772	2.0453519	9	339
-0.352196196	-2.6339385	7	340
-5.61224339	-1.01623813	13	341
4.89094187	-2.61255478	0	342
-0.797281403	-1.23549405	7	343
-7.96070067	3.06306827	1	344
9.28215958	3.20715529	9	345
0.883209941	-2.30205028	7	346
-6.61249111	0.740106719	10	347
-7.16041848	0.840477443	10	348
4.53603013	-2.58456409	0	349
-8.84935865	0.779308541	1	350
4.89862454	-2.30503843	0	351
8.03488518	2.27873383	9	352
3.46434543	-1.87646393	0	353
-0.012988782	-1.01613178	0	354
5.93154676	-2.46287633	0	355
-4.38333211	-0.573384232	1	356
-0.767579905	-1.79530469	7	357
-5.83011984	-0.135050237	6	358
-7.82996057	2.03429515	10	359
-8.95291434	2.20085897	6	360
-5.47887923	0.270848792	6	361
-7.27738622	-0.145391685	13	362
10.1794061	3.88438391	9	363
-3.44474925	-0.634610616	13	364
4.90578899	-2.967848	0	365
4.68142657	-0.594034599	0	366
-8.28394024	2.41243445	6	367
7.90078773	3.41135283	9	368
2.82383936	-2.95815406	0	369
3.63638071	-2.20729222	0	370
-2.47649548	-2.2637284	7	371
-7.29509394	2.14466149	6	372
-7.49158847	1.9031935	10	373
-1.91033146	-2.24970792	7	374
-6.21308176	-0.840855369	1	375
-0.700874963	-2.61963561	13	376
6.71792171	1.75067346	9	377
9.39112272	2.40031166	9	378
-0.298632046	-1.02116789	0	379
-7.43342985	0.786892776	10	380
-3.5997176	-2.39052709	7	381
-1.76701832	-1.74512509	7	382
-2.72276564	-2.20133149	7	383
-0.791539303	-1.30958101	7	384
-0.233889806	-1.45528636	7	385
3.99444124	-2.93640215	0	386
-7.20304117	0.593909078	10	387
-5.63460495	1.0784724	6	388
-2.28821694	-2.12749316	7	389
4.73018792	-1.90957098	0	390
-7.09259193	1.16026404	10	391
-6.80980858	0.468502292	10	392
3.7259733	-1.12411908	0	393
7.43913774	2.83117037	9	394
4.65111549	-1.75165956	0	395
-3.74344427	-1.72799932	13	396
6.37095511	-1.79280167	0	397
3.06976418	-2.39107418	0	398
10.0309611	2.59887823	9	399
-5.81088889	-0.652350305	1	400
-6.44193723	-1.43565332	7	401
0.898858666	-2.61643114	0	402
7.258749	-1.56596881	0	403
-4.38301551	-0.0398898494	13	404
-1.26984845	-2.30613366	7	405
-7.46270937	1.12926954	10	406
-3.04285019	-1.79196361	7	407
-6.80153436	1.08197081	10	408
-2.35837072	-1.14693545	13	409
7.74355257	1.41799029	9	410
-3.40672813	-1.05542168	13	411
-4.05805773	-0.99848518	13	412
-4.31933316	-1.40937493	13	413
-8.45846606	1.84361654	10	414
10.5336337	3.15091454	9	415
-6.62033374	0.302849238	6	416
-8.01991674	1.03798981	10	417
-3.71068153	-0.605224284	13	418
-8.12178015	1.85334649	10	419
-11.8854736	4.96201062	1	420
8.59331916	2.39381161	9	421
-7.80240144	0.93430527	10	422
-9.40277905	2.16840491	1	423
-2.34496932	-2.11727929	7	424
-11.1010632	2.57234337	6	425
10.8282669	2.31838058	9	426
9.36331263	2.91138444	9	427
-5.684156	1.4683298	6	428
-6.40460848	0.24600373	1	429
-6.47332182	-0.866972797	13	430
7.43453188	1.92294506	9	431
-0.642983835	-0.301641137	0	432
6.9598692	-1.74820055	0	433
-8.82575682	2.08481154	6	434
-9.27930461	0.00249973965	13	435
6.26809304	-2.19866181	0	436
-7.88934443	1.43629378	10	437
-1.45053079	-2.40978154	7	438
8.84324936	3.00445475	9	439
0.319563046	-2.44110837	7	440
-8.37188733	0.84875466	6	441
-2.70336119	-1.66286071	7	442
-0.79459698	-1.94810005	7	443
4.24348215	1.5116106	9	444
-8.11765061	0.422455932	1	445
-7.87140669	1.01418424	10	446
-7.2045613	0.875785031	10	447
-8.33586957	1.47479136	1	448
10.9650908	3.14247705	9	449
-3.72181254	-1.68445506	7	450
3.31571747	-2.42090075	0	451
6.02709325	-1.99792777	0	452
10.2596584	3.52413278	9	453
2.41828039	-2.5586802	0	454
7.24006218	-1.78809912	0	455
-7.64374085	1.24790533	10	456
5.01782533	-2.07555913	0	457
-1.46032501	-0.225802679	6	458
-4.04410642	-0.69439775	7	459
-1.45572642	-1.90838925	7	460
-0.343772693	-2.32955386	7	461
-0.940213853	-2.53319695	7	462
-2.00086819	-1.75130805	13	463
5.944453	2.57155934	9	464
7.07709835	2.54322359	9	465
3.15021204	-2.35936213	0	466
-4.25716333	0.904512348	6	467
-6.14109268	-0.22396824	13	468
-7.72483585	1.29295013	10	469
-2.61958595	-1.1898271	7	470
4.7261441	-2.35227936	0	471
-4.51327868	-0.652331299	13	472
0.0398262161	-1.89674339	7	473
8.93252335	2.14730283	9	474
4.19475469	-1.40571547	0	475
-7.42787482	1.48121279	10	476
-2.84864174	0.983316093	6	477
2.31212382	-1.92898622	0	478
-3.34468122	-0.801929529	7	479
-8.79304055	1.54408307	10	480
-3.75302057	-1.56409555	7	481
-1.30115082	-2.42590769	7	482
-3.40919306	-0.357430122	13	483
10.5066055	3.67379058	9	484
8.55043911	3.66822397	9	485
-3.22190009	-1.25132102	1	486
-6.55345606	1.50921734	6	487
-1.72060681	-1.73519219	13	488
-7.4548501	1.06926631	10	489
7.88837723	1.63581862	9	490
0.25776385	-1.56848908	0	491
3.36160908	-2.63189682	0	492
2.86612081	-2.17101462	0	493
-4.16987944	-1.66122959	7	494
4.88351653	2.54176313	9	495
-7.83749937	-0.581454629	13	496
-2.52371419	-2.36392729	7	497
3.98272168	-1.46840842	0	498
4.80259305	2.29533363	9	499
-7.17503518	0.809600262	1	500
4.78740342	-1.73156246	0	501
3.51294553	-2.68815999	0	502
-7.47260111	1.12309498	10	503
-10.0462265	2.72478014	6	504
5.36759317	-2.23618257	0	505
-11.0012908	2.65273313	1	506
-4.96303921	-0.536359615	13	507
3.81030522	-2.12270786	0	508
4.30393894	-1.34435816	0	509
-3.15251846	-1.53628726	7	510
8.42637435	2.89190131	9	511
-7.74535359	-0.60594577	13	512
6.7701744	3.27928755	9	513
5.69182002	-1.5390658	0	514
4.86846842	-1.78145514	0	515
11.1561366	3.18738339	9	516
10.6854278	3.00716478	9	517
6.62612749	1.74930618	9	518
5.59130825	-2.22291382	0	519
-8.31907547	2.26787328	6	520
-7.95542077	1.49493435	10	521
-1.89587425	-1.53766734	7	522
-4.50855417	0.840775484	6	523
4.49752644	2.23962012	9	524
8.51699353	2.6863848	9	525
0.880527738	-2.63161003	0	526
-10.6214638	2.75374167	6	527
3.83674934	-2.30267712	0	528
-9.68219683	1.78570218	10	529
-7.48012568	1.21438064	10	530
-6.8021601	1.41666604	1	531
-3.01818055	-0.568427047	13	532
-2.32207865	0.457965518	6	533
-1.84354275	-2.13785249	7	534
-4.16527206	-2.43041238	7	535
-0.437988718	-2.57127491	0	536
-0.598078669	-2.31410938	7	537
-1.88824023	-2.29882793	7	538
-4.31298004	-1.40510991	13	539
9.82959284	2.81472172	9	540
8.70208597	2.46940841	9	541
-4.77872489	-1.15258252	13	542
7.2336006	1.86888708	9	543
-11.1082806	3.50950152	1	544
-3.52575616	-1.15234195	13	545
-9.98693588	3.67657866	6	546
-5.86985501	0.854251536	6	547
-7.07818513	0.504386937	13	548
4.4959951	-2.15641497	0	549
-0.268242141	-1.95676408	7	550
-6.52280091	0.589109027	13	551
-5.31968003	1.29732779	6	552
-3.73169913	-1.7882345	13	553
4.98183449	-1.52082485	0	554
-10.313667	4.26627243	1	555
5.48234837	-2.58430725	0	556
10.8171541	3.22873908	9	557
-2.36183717	0.539203183	6	558
-0.658616743	-1.42005358	7	559
-1.78132377	-2.23706555	7	560
-8.87234573	1.92458116	10	561
2.50062569	-1.69954428	0	562
-4.13385871	-1.26042906	13	563
-6.51700626	-0.918625349	13	564
-0.399864632	-1.98249778	7	565
-10.3942603	3.78448615	1	566
-5.59302119	1.47816729	6	567
-8.07561754	1.64755131	10	568
1.37307406	-2.72851403	0	569
3.10339974	-2.53825452	0	570
5.92661063	-0.988164199	0	571
11.2790768	3.78285947	9	572
-10.4847219	3.5667514	1	573
9.3932763	2.67442707	9	574
1.62482172	-2.09791607	7	575
-2.44406551	-1.61978369	13	576
6.11903056	-1.41098681	0	577
0.993157494	-2.07304414	0	578
-4.48233881	-0.789234066	1	579
-6.8539702	0.791537156	10	580
-7.96389035	1.18463136	10	581
6.75328699	-1.67939644	0	582
-4.19914358	-0.89847092	1	583
-5.22701532	-0.417323716	13	584
-3.46166854	-2.49532962	7	585
-0.46005635	-2.06308075	7	586
-7.28161896	1.15443231	10	587
4.62546407	-1.23213674	0	588
-7.14806629	-0.510553855	1	589
-4.93055926	0.203063147	6	590
8.5914065	2.7166669	9	591
4.13089477	-2.24958406	0	592
-3.80666583	3.65115702	11	593
7.79711011	3.10993354	9	594
0.666073363	-1.74700167	7	595
-7.46283758	0.376163488	1	596
12.2441768	3.74966421	9	597
3.18565441	-1.86605022	0	598
-6.8419616	1.34136216	6	599
-4.74841862	0.287493537	6	600
7.42130756	2.98679185	9	601
-9.56687227	2.16803727	6	602
-3.39090105	-2.2773616	7	603
-5.49755372	-0.0946400535	13	604
-7.22895176	1.10288857	10	605
-11.1636139	2.92981588	10	606
-11.4693841	3.68433342	6	607
-7.2651081	1.43791367	10	608
-10.3480016	0.911255418	1	609
-10.4563204	3.06487985	6	610
-7.25197843	0.736679358	6	611
-4.97244928	1.80389404	6	612
-2.47720748	-2.19217975	7	613
8.84086995	2.52905814	9	614
-1.41277614	-2.63143382	7	615
-1.74563765	-1.77765588	7	616
8.45352063	2.22934926	9	617
1.5266187	1.3826729	9	618
-10.1548401	2.73271198	6	619
-6.48885842	1.96143937	6	620
-7.41737811	1.15328159	6	621
-5.14887754	0.527587609	6	622
-6.88741878	2.03845753	6	623
-9.60362259	2.02622131	6	624
-2.84753577	-2.18015619	7	625
-2.01211352	-2.02655805	7	626
-4.83034967	-2.43137248	1	627
-0.907851409	-2.00140515	7	628
9.46211416	2.94565429	9	629
-5.58400147	0.249077371	6	630
-0.742766332	-1.67488943	0	631
-2.00112742	-0.398326578	13	632
9.64819218	2.67449415	9	633
-7.96169098	1.06267484	6	634
-0.204937771	-2.67994553	0	635
10.1399124	3.16259382	9	636
-5.98619077	-0.650116859	13	637
2.34211997	-1.28689195	0	638
2.40166149	-3.30427539	0	639
-1.12207977	-2.58358331	7	640
5.65824334	-2.14397014	0	641
3.5746868	-2.52697724	0	642
8.23795291	2.16762352	9	643
4.97709732	-2.22796994	0	644
-9.13562017	1.24573674	10	645
8.93676866	2.24286143	9	646
-11.6173407	3.38253856	1	647
6.89455653	-2.53486813	0	648
5.71208245	-2.64918151	0	649
-3.46439524	-1.30382914	7	650
7.0026181	2.25567533	9	651
3.77170018	-1.88616748	0	652
-1.18154466	-1.76885457	13	653
3.54683977	-2.72443848	0	654
-10.2082441	2.26985012	1	655
-8.97422964	1.64943013	10	656
3.74462086	-0.919496504	0	657
-9.57577793	3.36507271	6	658
3.23122777	-2.97000158	0	659
-8.25348178	1.07864212	13	660
-4.5701617	1.04010351	6	661
-9.93636792	2.20159866	1	662
9.79179189	3.28338731	9	663
9.91644233	3.79313773	9	664
3.68000703	-2.84431082	0	665
-0.160006567	-2.57497373	7	666
-2.49457169	-2.1965521	7	667
-1.7498271	-2.48269832	7	668
-7.09783773	1.00189955	10	669
-2.82957189	-2.28725309	7	670
9.65868062	3.2518159	9	671
-8.95894249	2.06362764	6	672
1.43550013	-2.16860595	0	673
6.26721998	-2.0051595	0	674
-3.10234176	-2.47267042	7	675
-1.27364487	-2.18661353	7	676
-1.75855123	-2.20207442	7	677
6.55346713	-1.27332675	0	678
-7.75398311	0.912919459	10	679
6.13099126	-2.40533067	0	680
1.71511413	-1.33413119	0	681
4.95644945	-2.37723971	0	682
4.21712519	-1.79903043	0	683
-3.40892115	-0.544001129	7	684
-7.54162484	1.03148804	10	685
-10.9482072	3.34127632	6	686
3.50370197	-2.14445802	0	687
10.6123291	3.79734328	9	688
-10.3591035	3.97062554	1	689
8.33591845	3.63475632	9	690
-4.13162162	-1.37855239	13	691
7.1909711	3.17874648	9	692
-2.08025823	-2.33688736	13	693
-9.55397405	1.25979648	1	694
3.63022808	-2.03182577	0	695
-2.31239091	-2.06902763	7	696
5.78969743	-1.6869372	0	697
4.12132218	-3.34568402	0	698
-5.25164391	0.848744395	6	699
-4.11117487	0.612990495	6	700
-1.19759261	-2.4504347	7	701
0.0903971301	-1.40116026	7	702
-2.99513424	-1.06443806	13	703
-2.0066479	-2.58982287	7	704
-9.58437676	2.55131088	6	705
-3.44167845	-1.93605687	7	706
4.3958215	-3.20042388	0	707
10.2900819	3.01936602	9	708
-8.70864159	4.60708766	1	709
-2.41041593	2.57879414	5	710
3.46069824	-2.47776586	0	711
-7.08009218	0.735285534	10	712
-6.90083781	0.777215839	10	713
7.89469095	3.39114348	9	714
-2.78717868	-0.404759107	6	715
-9.05412395	1.8859375	1	716
-3.46661131	-0.409370298	6	717
4.41757273	-2.09932333	0	718
-2.25975782	-2.40996076	7	719
2.25486434	-2.45630893	0	720
-3.79152994	-1.66117048	13	721
3.98696359	-2.75271443	0	722
-5.46919485	-0.133667514	13	723
-0.940429489	-2.07873897	0	724
5.62422688	-2.17159657	0	725
-1.59223807	-1.85141951	7	726
-2.17166278	-2.06255047	7	727
5.03142165	-2.18384813	0	728
-5.09024415	0.311194448	6	729
2.98833139	1.7314413	9	730
5.09533662	-2.81858369	0	731
2.63921854	-1.6494129	0	732
-5.69657322	0.807411035	6	733
-3.26881308	-2.22014783	7	734
9.03420192	3.7790243	9	735
-9.32161607	1.02649183	1	736
4.03336122	-1.57383102	0	737
4.11404242	-2.57338686	0	738
4.87616813	-2.45456923	0	739
6.13986594	-2.59602321	0	740
9.54859112	2.89040804	9	741
-9.90477395	2.7968432	6	742
-5.7689611	1.11412466	6	743
-6.66790915	-0.649674763	1	744
-4.30703874	-1.26153713	13	745
10.4306881	3.75874875	3	746
-5.29323869	0.818827133	6	747
7.47842863	2.61406119	9	748
0.664848052	-1.93956137	0	749
8.60650476	2.45064324	9	750
-2.73441027	-0.401182832	13	751
-8.26987647	1.41560631	10	752
-2.823122	-1.83735912	13	753
-1.54244539	-2.16238809	7	754
9.05404384	2.35919007	9	755
3.93056776	-1.52277284	0	756
9.00061767	2.73303102	9	757
-9.6012744	1.7934945	6	758
4.60852135	-0.869716409	0	759
-2.34190175	-2.35189208	7	760
8.24034828	4.24705853	9	761
-11.0286921	2.55051786	1	762
-4.24834629	0.141890132	6	763
-5.22271916	1.83196479	1	764
-7.46860615	1.66458763	10	765
-3.96703882	-1.44814473	7	766
2.95044252	-2.35208742	0	767
-2.65597602	-1.70539274	7	768
5.90902494	1.99582805	9	769
-2.27952367	-2.54121791	7	770
-2.48866505	-1.62059338	7	771
-3.44914808	-1.36452643	0	772
7.01142244	-1.82550208	0	773
4.08833653	-1.79284329	0	774
4.35363699	-3.40887392	0	775
-5.4522827	0.589904484	6	776
4.0901871	-2.74262631	0	777
-5.86961484	-0.833347651	13	778
1.99499875	0.938788559	9	779
3.9601211	-1.42910297	0	780
-3.53917492	-1.41211372	13	781
5.58508769	-2.21208881	0	782
0.82566107	-1.76628412	0	783
7.87820129	2.8315869	9	784
-8.88964384	1.75835326	10	785
9.41356526	3.15284757	9	786
4.03419217	-2.66412643	0	787
-3.36094772	-1.30522195	13	788
-0.753195559	-2.34312969	7	789
-1.44290894	0.261000059	6	790
2.44498631	-2.24570674	0	791
-8.12220528	-0.573770607	13	792
-2.58988535	-2.43129811	7	793
3.5076663	0.980360003	9	794
-7.82290313	1.14615925	10	795
-7.71975113	1.12896544	10	796
-8.13749302	1.28097454	10	797
-1.15260474	-2.26326422	7	798
11.5197976	2.91236282	9	799
3.15746286	0.0915750179	0	800
-10.2580609	2.55158906	6	801
-7.89918429	1.1604922	10	802
3.47676756	-3.25224489	0	803
-6.6051407	1.39166449	13	804
3.13673216	-2.8509282	0	805
9.59334609	2.98628616	9	806
9.23097241	2.9961381	9	807
7.09963925	2.10249865	3	808
-4.89167645	-1.33566276	13	809
10.3784736	3.04629095	9	810
-8.17581189	1.61195427	6	811
-2.47398236	-2.64284775	7	812
-6.08825842	1.19460132	6	813
3.30649036	-1.86137499	0	814
-2.49356346	-2.09343026	7	815
